Name,survived,sex,age,passengerClass
"Abbing, Mr. Anthony",no,male,Adult,3rd
"Abbott, Master. Eugene Joseph",no,male,Youth,3rd
"Abbott, Mr. Rossmore Edward",no,male,Youth,3rd
"Abbott, Mrs. Stanton (Rosa Hunt",yes,female,Adult,3rd
"Abelseth, Miss. Karen Marie",yes,female,Youth,3rd
"Abelseth, Mr. Olaus Jorgensen",yes,male,Adult,3rd
"Abelson, Mr. Samuel",no,male,Adult,2nd
"Abelson, Mrs. Samuel (Hannah Wi",yes,female,Adult,2nd
"Abrahamsson, Mr. Abraham August",yes,male,Youth,3rd
"Abrahim, Mrs. Joseph (Sophie Ha",yes,female,Youth,3rd
"Adahl, Mr. Mauritz Nils Martin",no,male,Adult,3rd
"Adams, Mr. John",no,male,Adult,3rd
"Ahlin, Mrs. Johan (Johanna Pers",no,female,Adult,3rd
"Aks, Master. Philip Frank",yes,male,Child,3rd
"Aks, Mrs. Sam (Leah Rosen)",yes,female,Youth,3rd
"Albimona, Mr. Nassef Cassem",yes,male,Adult,3rd
"Aldworth, Mr. Charles Augustus",no,male,Adult,2nd
"Alexander, Mr. William",no,male,Adult,3rd
"Alhomaki, Mr. Ilmari Rudolf",no,male,Youth,3rd
"Ali, Mr. Ahmed",no,male,Adult,3rd
"Ali, Mr. William",no,male,Adult,3rd
"Allen, Miss. Elisabeth Walton",yes,female,Adult,1st
"Allen, Mr. William Henry",no,male,Adult,3rd
"Allison, Master. Hudson Trevor",yes,male,Child,1st
"Allison, Miss. Helen Loraine",no,female,Child,1st
"Allison, Mr. Hudson Joshua Crei",no,male,Adult,1st
"Allison, Mrs. Hudson J C (Bessi",no,female,Adult,1st
"Allum, Mr. Owen George",no,male,Youth,3rd
"Andersen-Jensen, Miss. Carla Ch",yes,female,Youth,3rd
"Andersen, Mr. Albert Karvin",no,male,Adult,3rd
"Anderson, Mr. Harry",yes,male,Adult,1st
"Andersson, Master. Sigvard Hara",no,male,Child,3rd
"Andersson, Miss. Ebba Iris Alfr",no,female,Child,3rd
"Andersson, Miss. Ellis Anna Mar",no,female,Child,3rd
"Andersson, Miss. Erna Alexandra",yes,female,Youth,3rd
"Andersson, Miss. Ida Augusta Ma",no,female,Adult,3rd
"Andersson, Miss. Ingeborg Const",no,female,Child,3rd
"Andersson, Miss. Sigrid Elisabe",no,female,Child,3rd
"Andersson, Mr. Anders Johan",no,male,Adult,3rd
"Andersson, Mr. August Edvard (",yes,male,Adult,3rd
"Andersson, Mr. Johan Samuel",no,male,Adult,3rd
"Andersson, Mrs. Anders Johan (A",no,female,Adult,3rd
"Andreasson, Mr. Paul Edvin",no,male,Youth,3rd
"Andrew, Mr. Edgardo Samuel",no,male,Youth,2nd
"Andrew, Mr. Frank Thomas",no,male,Adult,2nd
"Andrews, Miss. Kornelia Theodos",yes,female,Old,1st
"Andrews, Mr. Thomas Jr",no,male,Adult,1st
"Angheloff, Mr. Minko",no,male,Adult,3rd
"Angle, Mr. William A",no,male,Adult,2nd
"Angle, Mrs. William A (Florence",yes,female,Adult,2nd
"Appleton, Mrs. Edward Dale (Cha",yes,female,Adult,1st
"Arnold-Franchi, Mr. Josef",no,male,Adult,3rd
"Arnold-Franchi, Mrs. Josef (Jos",no,female,Youth,3rd
"Aronsson, Mr. Ernst Axel Algot",no,male,Adult,3rd
"Artagaveytia, Mr. Ramon",no,male,Old,1st
"Ashby, Mr. John",no,male,Adult,2nd
"Asim, Mr. Adola",no,male,Adult,3rd
"Asplund, Master. Carl Edgar",no,male,Child,3rd
"Asplund, Master. Clarence Gusta",no,male,Child,3rd
"Asplund, Master. Edvin Rojj Fel",yes,male,Child,3rd
"Asplund, Master. Filip Oscar",no,male,Youth,3rd
"Asplund, Miss. Lillian Gertrud",yes,female,Child,3rd
"Asplund, Mr. Carl Oscar Vilhelm",no,male,Adult,3rd
"Asplund, Mr. Johan Charles",yes,male,Adult,3rd
"Asplund, Mrs. Carl Oscar (Selma",yes,female,Adult,3rd
"Assaf Khalil, Mrs. Mariana (Mi",yes,female,Adult,3rd
"Assaf, Mr. Gerios",no,male,Adult,3rd
"Assam, Mr. Ali",no,male,Adult,3rd
"Astor, Col. John Jacob",no,male,Adult,1st
"Astor, Mrs. John Jacob (Madelei",yes,female,Youth,1st
"Attalah, Miss. Malake",no,female,Youth,3rd
"Attalah, Mr. Sleiman",no,male,Adult,3rd
"Aubart, Mme. Leontine Pauline",yes,female,Adult,1st
"Augustsson, Mr. Albert",no,male,Adult,3rd
"Ayoub, Miss. Banoura",yes,female,Youth,3rd
"Baccos, Mr. Raffull",no,male,Youth,3rd
"Backstrom, Mr. Karl Alfred",no,male,Adult,3rd
"Backstrom, Mrs. Karl Alfred (Ma",yes,female,Adult,3rd
"Baclini, Miss. Eugenie",yes,female,Child,3rd
"Baclini, Miss. Helene Barbara",yes,female,Child,3rd
"Baclini, Miss. Marie Catherine",yes,female,Child,3rd
"Baclini, Mrs. Solomon (Latifa Q",yes,female,Adult,3rd
"Badman, Miss. Emily Louisa",yes,female,Youth,3rd
"Badt, Mr. Mohamed",no,male,Adult,3rd
"Bailey, Mr. Percy Andrew",no,male,Youth,2nd
"Baimbrigge, Mr. Charles Robert",no,male,Adult,2nd
"Balkic, Mr. Cerin",no,male,Adult,3rd
"Ball, Mrs. (Ada E Hall)",yes,female,Adult,2nd
"Banfield, Mr. Frederick James",no,male,Adult,2nd
"Barah, Mr. Hanna Assi",yes,male,Youth,3rd
"Barbara, Miss. Saiide",no,female,Youth,3rd
"Barbara, Mrs. (Catherine David)",no,female,Adult,3rd
"Barber, Miss. Ellen Nellie",yes,female,Adult,1st
"Barkworth, Mr. Algernon Henry W",yes,male,Old,1st
"Barry, Miss. Julia",no,female,Adult,3rd
"Barton, Mr. David John",no,male,Adult,3rd
"Bateman, Rev. Robert James",no,male,Adult,2nd
"Baumann, Mr. John D",no,male,Child,1st
"Baxter, Mr. Quigg Edmond",no,male,Adult,1st
"Baxter, Mrs. James (Helene DeLa",yes,female,Adult,1st
"Bazzani, Miss. Albina",yes,female,Adult,1st
"Beane, Mr. Edward",yes,male,Adult,2nd
"Beane, Mrs. Edward (Ethel Clark",yes,female,Youth,2nd
"Beattie, Mr. Thomson",no,male,Adult,1st
"Beauchamp, Mr. Henry James",no,male,Adult,2nd
"Beavan, Mr. William Thomas",no,male,Youth,3rd
"Becker, Master. Richard F",yes,male,Child,2nd
"Becker, Miss. Marion Louise",yes,female,Child,2nd
"Becker, Miss. Ruth Elizabeth",yes,female,Youth,2nd
"Becker, Mrs. Allen Oliver (Nell",yes,female,Adult,2nd
"Beckwith, Mr. Richard Leonard",yes,male,Adult,1st
"Beckwith, Mrs. Richard Leonard",yes,female,Adult,1st
"Beesley, Mr. Lawrence",yes,male,Adult,2nd
"Behr, Mr. Karl Howell",yes,male,Adult,1st
"Bengtsson, Mr. John Viktor",no,male,Adult,3rd
"Bentham, Miss. Lilian W",yes,female,Youth,2nd
"Berglund, Mr. Karl Ivar Sven",no,male,Adult,3rd
"Berriman, Mr. William John",no,male,Adult,2nd
"Betros, Master. Seman",no,male,Child,3rd
"Betros, Mr. Tannous",no,male,Youth,3rd
"Bidois, Miss. Rosalie",yes,female,Adult,1st
"Bing, Mr. Lee",yes,male,Adult,3rd
"Bird, Miss. Ellen",yes,female,Adult,1st
"Birkeland, Mr. Hans Martin Mons",no,male,Adult,3rd
"Birnbaum, Mr. Jakob",no,male,Adult,1st
"Bishop, Mr. Dickinson H",yes,male,Adult,1st
"Bishop, Mrs. Dickinson H (Helen",yes,female,Youth,1st
"Bissette, Miss. Amelia",yes,female,Adult,1st
"Bjorklund, Mr. Ernst Herbert",no,male,Youth,3rd
"Bjornstrom-Steffansson, Mr. Mau",yes,male,Adult,1st
"Blackwell, Mr. Stephen Weart",no,male,Adult,1st
"Blank, Mr. Henry",yes,male,Adult,1st
"Bonnell, Miss. Caroline",yes,female,Adult,1st
"Bonnell, Miss. Elizabeth",yes,female,Adult,1st
"Borebank, Mr. John James",no,male,Adult,1st
"Bostandyeff, Mr. Guentcho",no,male,Adult,3rd
"Botsford, Mr. William Hull",no,male,Adult,2nd
"Boulos, Master. Akar",no,male,Child,3rd
"Boulos, Miss. Nourelain",no,female,Child,3rd
"Boulos, Mr. Hanna",no,male,Child,3rd
"Boulos, Mrs. Joseph (Sultana)",no,female,Child,3rd
"Bourke, Miss. Mary",no,female,Child,3rd
"Bourke, Mr. John",no,male,Adult,3rd
"Bourke, Mrs. John (Catherine)",no,female,Adult,3rd
"Bowen, Miss. Grace Scott",yes,female,Adult,1st
"Bowen, Mr. David John Dai",no,male,Adult,3rd
