Name,Caramel,Nougat,Chocolate,Fruit,Nuts,Crispy,Hard,Bar,Pluribus,Sugar,Price,Win
100 Grand,caramel,no nougat,chocolate,not fruity,no nuts,crispy,not hard,bar,not pluribus,73.199999,86.000001,66.971725
3 Musketeers,no caramel,nougat,chocolate,not fruity,no nuts,not crispy,not hard,bar,not pluribus,60.399997,51.099998,67.602936
Air Heads,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,not pluribus,90.600002,51.099998,52.341465
Almond Joy,no caramel,no nougat,chocolate,not fruity,nuts,not crispy,not hard,bar,not pluribus,46.5,76.700002,50.347546
Baby Ruth,caramel,nougat,chocolate,not fruity,nuts,not crispy,not hard,bar,not pluribus,60.399997,76.700002,56.914547
Boston Baked Beans,no caramel,no nougat,no chocolate,not fruity,nuts,not crispy,not hard,not bar,pluribus,31.299999,51.099998,23.417824
Candy Corn,no caramel,no nougat,no chocolate,not fruity,no nuts,not crispy,not hard,not bar,pluribus,90.600002,32.499999,38.010963
Caramel Apple Pops,caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,not pluribus,60.399997,32.499999,34.517681
Charleston Chew,no caramel,nougat,chocolate,not fruity,no nuts,not crispy,not hard,bar,not pluribus,60.399997,51.099998,38.975037
Chewey Lemonhead Fruit Mix,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,pluribus,73.199999,51.099998,36.017628
Chiclets,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,pluribus,4.6,32.499999,24.524988
Dots,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,pluribus,73.199999,51.099998,42.272076
Dum Dums,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,hard,not bar,not pluribus,73.199999,3.4000002,39.460556
Fruit Chews,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,pluribus,12.7,3.4000002,43.088924
Fun Dip,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,hard,not bar,not pluribus,73.199999,32.499999,39.185505
Gobstopper,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,hard,not bar,pluribus,90.600002,45.300001,46.783348
Haribo Gold Bears,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,pluribus,46.5,46.5,57.11974
Haribo Happy Cola,no caramel,no nougat,no chocolate,not fruity,no nuts,not crispy,not hard,not bar,pluribus,46.5,46.5,34.158958
Haribo Sour Bears,no caramel,no nougat,no chocolate,fruity,no nuts,not crispy,not hard,not bar,pluribus,46.5,46.5,51.41243
