ID,name,type,hunger,debutDate,minecraftVersion
13,cooked_chicken,Animal,6,2011-11-18T00:00:00,1.0.0
19,cookie,Plant,2,2011-11-18T00:00:00,1.0.0
1,apple,Plant,4,2011-11-18T00:00:00,1.0.0
25,melon_slice,Plant,2,2011-11-18T00:00:00,1.0.0
26,milk_bucket,Animal,0,2011-11-18T00:00:00,1.0.0
27,mushroom_stew,Plant,6,2011-11-18T00:00:00,1.0.0
16,cooked_porkchop,Animal,8,2011-11-18T00:00:00,1.0.0
6,bread,Plant,5,2011-11-18T00:00:00,1.0.0
30,porkchop,Animal,3,2011-11-18T00:00:00,1.0.0
22,golden_apple,Plant,4,2011-11-18T00:00:00,1.0.0
12,cooked_beef,Animal,8,2011-11-18T00:00:00,1.0.0
11,cod,Animal,2,2011-11-18T00:00:00,1.0.0
9,chicken,Animal,2,2011-11-18T00:00:00,1.0.0
35,rotten_flesh,Animal,4,2011-11-18T00:00:00,1.0.0
3,beef,Animal,3,2011-11-18T00:00:00,1.0.0
14,cooked_cod,Animal,5,2011-11-18T00:00:00,1.0.0
7,cake,Plant,1,2012-02-29T00:00:00,1.2.0
8,carrot,Plant,3,2012-10-25T00:00:00,1.4.2
29,poisonous_potato,Plant,2,2012-10-25T00:00:00,1.4.2
2,baked_potato,Plant,5,2012-10-25T00:00:00,1.4.2
31,potato,Animal,1,2012-10-25T00:00:00,1.4.2
23,golden_carrot,Plant,6,2012-10-25T00:00:00,1.4.2
32,pumpkin_pie,Plant,8,2012-10-25T00:00:00,1.4.2
18,cooked_salmon,Animal,6,2013-10-25T00:00:00,1.7.2
39,tropical_fish,Animal,1,2013-10-25T00:00:00,1.7.2
36,salmon,Animal,2,2013-10-25T00:00:00,1.7.2
17,cooked_rabbit,Animal,5,2014-09-02T00:00:00,1.8.0
28,mutton,Animal,2,2014-09-02T00:00:00,1.8.0
15,cooked_mutton,Animal,6,2014-09-02T00:00:00,1.8.0
33,rabbit,Animal,3,2014-09-02T00:00:00,1.8.0
34,rabbit_stew,Animal,10,2014-09-02T00:00:00,1.8.0
4,beetroot,Plant,1,2016-02-29T00:00:00,1.9.0
10,chorus_fruit,Plant,4,2016-02-29T00:00:00,1.9.0
5,beetroot_soup,Plant,6,2016-02-29T00:00:00,1.9.0
20,dried_kelp,Plant,1,2018-07-18T00:00:00,1.13.0
37,suspicious_stew,Animal,6,2019-04-23T00:00:00,1.14.0
38,sweet_berries,Plant,2,2019-04-23T00:00:00,1.14.0
24,honey_bottle,Animal,6,2019-12-10T00:00:00,1.15.0
21,glow_berries,Plant,2,2021-06-08T00:00:00,1.17.0
