lottery,skydiving,steak,steak_prep,smoke,drink,gamble,speed,cheated,gender,education,age,income
B,No,Yes,Rare,Yes,No,No,No,No,not Male,college,69,19023
B,No,Yes,Medium Well,No,Yes,Yes,No,No,not Male,high school,65,19411
B,No,Yes,Medium,No,Yes,Yes,No,No,not Male,college,75,24542
B,No,Yes,Medium Well,Yes,Yes,No,No,No,Male,college,23,21906
A,No,Yes,Medium,No,Yes,No,No,No,not Male,college,27,24687
B,No,Yes,Medium rare,No,No,No,No,No,not Male,college,46,23731
A,No,No,,No,Yes,Yes,No,No,Male,college,46,19635
A,No,No,,No,No,No,No,No,not Male,high school,21,133337
B,No,Yes,Well,No,Yes,Yes,No,No,not Male,college,59,145107
B,No,Yes,Medium,No,Yes,No,No,No,not Male,college,33,297256
A,No,No,,No,Yes,Yes,No,No,not Male,college,45,283592
B,No,No,,No,No,No,No,No,not Male,college,82,45438
A,No,No,,Yes,No,No,No,No,not Male,high school,81,25780
B,No,Yes,Medium rare,No,No,No,No,No,not Male,college,79,36606
A,No,Yes,Medium,No,Yes,Yes,No,No,not Male,high school,81,26372
B,No,Yes,Medium rare,No,Yes,Yes,No,No,Male,college,81,28312
B,No,Yes,Medium Well,No,No,Yes,No,No,Male,college,63,48709
A,No,Yes,Medium rare,No,No,No,No,No,not Male,college,24,26163
B,No,Yes,Medium rare,Yes,Yes,Yes,No,No,Male,college,43,31695
A,No,No,,No,Yes,No,No,No,Male,high school,50,49127
A,No,No,,No,No,No,No,No,not Male,high school,49,28745
A,No,Yes,Medium Well,Yes,No,No,No,No,not Male,college,46,44062
A,No,No,,No,No,Yes,No,No,not Male,college,48,36023
A,No,No,,No,No,No,No,No,not Male,college,77,66073
B,No,Yes,Medium rare,No,No,No,No,No,not Male,college,79,80688
A,No,Yes,Medium rare,No,Yes,No,No,No,Male,college,64,66159
A,No,Yes,Medium,No,No,Yes,No,No,not Male,high school,67,63666
A,No,Yes,Medium rare,No,Yes,Yes,No,No,Male,college,28,53797
B,No,Yes,Medium rare,No,No,Yes,No,No,Male,high school,25,71816
A,No,No,,No,No,No,No,No,Male,college,37,71682
A,No,Yes,Medium rare,No,No,No,No,No,Male,college,39,86603
B,No,Yes,Medium,No,Yes,Yes,No,No,Male,college,32,94108
B,No,Yes,Well,No,No,No,No,No,Male,college,60,82228
A,No,No,,No,Yes,No,No,No,not Male,college,45,83001
B,No,No,,No,Yes,No,No,No,Male,college,54,75787
