year,brand,funny,patriotic,celebrity,danger,animals,views,likes,dislikes,superbowl_ads_dot_com_url,youtube_url
2018,Toyota,FALSE,FALSE,FALSE,FALSE,FALSE,173929,1233,38,https://superbowl-ads.com/good-odds-toyota/,https://www.youtube.com/watch?v=zeBZvwYQ-hA
2020,Bud Light,TRUE,FALSE,TRUE,TRUE,FALSE,47752,485,14,https://superbowl-ads.com/2020-bud-light-seltzer-inside-posts-brain/,https://www.youtube.com/watch?v=nbbp0VW7z8w
2006,Bud Light,TRUE,FALSE,FALSE,TRUE,TRUE,142310,129,15,https://superbowl-ads.com/2006-bud-light-bear-attack/,https://www.youtube.com/watch?v=yk0MQD5YgV8
2018,Hynudai,FALSE,FALSE,FALSE,FALSE,FALSE,198,2,0,https://superbowl-ads.com/hope-detector-nfl-super-bowl-lii-hyundai/,https://www.youtube.com/watch?v=lNPccrGk77A
2003,Bud Light,TRUE,FALSE,FALSE,TRUE,TRUE,13741,20,3,https://superbowl-ads.com/2003-bud-light-hermit-crab/,https://www.youtube.com/watch?v=ovQYgnXHooY
2020,Toyota,TRUE,FALSE,TRUE,TRUE,TRUE,23636,115,11,https://superbowl-ads.com/2020-toyota-go-places-with-cobie-smulders/,https://www.youtube.com/watch?v=f34Ji70u3nk
2020,Coca-Cola,TRUE,FALSE,TRUE,FALSE,TRUE,304254,1470,384,https://superbowl-ads.com/2020-coca-cola-energy-show-up/,https://www.youtube.com/watch?v=-gAZRN3SCBw
2020,Kia,FALSE,FALSE,TRUE,FALSE,FALSE,17892,78,6,https://superbowl-ads.com/2020-kia-tough-never-quits/,https://www.youtube.com/watch?v=lMs79UXam9A
2020,Hynudai,TRUE,FALSE,TRUE,FALSE,TRUE,38385,342,7,https://superbowl-ads.com/2020-hyundai-smaht-pahk/,https://www.youtube.com/watch?v=WBvkmWDjsYc
2020,Budweiser,FALSE,TRUE,TRUE,TRUE,FALSE,782,7,0,https://superbowl-ads.com/2020-budweiser-typical-american/,https://www.youtube.com/watch?v=J0xugdotpp8
