date,month,day,year,time,weekday,power,temperature
1-Jun-10,June,1,2010,9:00,weekday,10859.0231,73.58
1-Jun-10,June,1,2010,10:00,weekday,11750.15184,73.58
1-Jun-10,June,1,2010,11:00,weekday,12645.00556,73.58
1-Jun-10,June,1,2010,12:00,weekday,13422.53047,78.98
1-Jun-10,June,1,2010,13:00,weekday,14135.8331,80.78
1-Jun-10,June,1,2010,14:00,weekday,14800.21429,82.58
1-Jun-10,June,1,2010,15:00,weekday,15307.33522,84.38
1-Jun-10,June,1,2010,16:00,weekday,15693.68363,89.78
1-Jun-10,June,1,2010,17:00,weekday,15854.37622,89.78
1-Jun-10,June,1,2010,18:00,weekday,15684.83647,91.58
2-Jun-10,June,2,2010,9:00,weekday,11102.75022,75.38
2-Jun-10,June,2,2010,10:00,weekday,12030.36546,73.58
2-Jun-10,June,2,2010,11:00,weekday,12896.24636,75.38
2-Jun-10,June,2,2010,12:00,weekday,13719.10135,77.18
2-Jun-10,June,2,2010,13:00,weekday,14483.91543,82.58
2-Jun-10,June,2,2010,14:00,weekday,15138.51891,82.58
2-Jun-10,June,2,2010,15:00,weekday,15462.2369,87.98
2-Jun-10,June,2,2010,16:00,weekday,15409.48915,87.98
2-Jun-10,June,2,2010,17:00,weekday,15196.77893,89.78
2-Jun-10,June,2,2010,18:00,weekday,14759.31044,89.78
3-Jun-10,June,3,2010,9:00,weekday,9922.188651,71.33
3-Jun-10,June,3,2010,10:00,weekday,10437.65538,71.78
3-Jun-10,June,3,2010,11:00,weekday,10973.10561,71.78
3-Jun-10,June,3,2010,12:00,weekday,11412.20145,71.78
3-Jun-10,June,3,2010,13:00,weekday,11680.78763,72.68
3-Jun-10,June,3,2010,14:00,weekday,11828.74358,73.58
3-Jun-10,June,3,2010,15:00,weekday,11924.56003,75.38
3-Jun-10,June,3,2010,16:00,weekday,12021.94669,78.08
3-Jun-10,June,3,2010,17:00,weekday,11970.67236,80.78
3-Jun-10,June,3,2010,18:00,weekday,11855.19425,78.98
4-Jun-10,June,4,2010,9:00,weekday,9806.93946,71.78
4-Jun-10,June,4,2010,10:00,weekday,10493.33327,71.78
4-Jun-10,June,4,2010,11:00,weekday,11175.37841,71.78
4-Jun-10,June,4,2010,12:00,weekday,11908.33808,71.78
4-Jun-10,June,4,2010,13:00,weekday,12552.66658,73.58
4-Jun-10,June,4,2010,14:00,weekday,13204.61343,75.38
4-Jun-10,June,4,2010,15:00,weekday,13780.87734,78.08
4-Jun-10,June,4,2010,16:00,weekday,14255.50875,82.58
4-Jun-10,June,4,2010,17:00,weekday,14511.11346,86.18
4-Jun-10,June,4,2010,18:00,weekday,14403.58675,87.98
5-Jun-10,June,5,2010,9:00,weekend,10048.9816,75.38
5-Jun-10,June,5,2010,10:00,weekend,11128.78197,75.38
5-Jun-10,June,5,2010,11:00,weekend,12203.09987,75.38
5-Jun-10,June,5,2010,12:00,weekend,13111.45362,77.18
5-Jun-10,June,5,2010,13:00,weekend,13817.61633,80.78
5-Jun-10,June,5,2010,14:00,weekend,14323.18692,82.58
5-Jun-10,June,5,2010,15:00,weekend,14591.92603,86.18
5-Jun-10,June,5,2010,16:00,weekend,14686.57596,87.98
5-Jun-10,June,5,2010,17:00,weekend,14633.25054,89.78
5-Jun-10,June,5,2010,18:00,weekend,14301.299,89.78
6-Jun-10,June,6,2010,9:00,weekend,10022.32468,80.78
6-Jun-10,June,6,2010,10:00,weekend,11065.15266,80.78
6-Jun-10,June,6,2010,11:00,weekend,12259.34938,79.88
6-Jun-10,June,6,2010,12:00,weekend,13313.27256,80.78
6-Jun-10,June,6,2010,13:00,weekend,14209.5832,82.58
6-Jun-10,June,6,2010,14:00,weekend,14781.41465,86.18
6-Jun-10,June,6,2010,15:00,weekend,15122.96591,87.98
6-Jun-10,June,6,2010,16:00,weekend,15286.56772,89.78
6-Jun-10,June,6,2010,17:00,weekend,15184.25693,89.78
6-Jun-10,June,6,2010,18:00,weekend,14556.26355,91.58
7-Jun-10,June,7,2010,9:00,weekday,11312.59362,78.98
7-Jun-10,June,7,2010,10:00,weekday,12004.65489,79.88
7-Jun-10,June,7,2010,11:00,weekday,12702.68724,79.43
7-Jun-10,June,7,2010,12:00,weekday,13167.41675,80.78
7-Jun-10,June,7,2010,13:00,weekday,13649.33534,82.58
7-Jun-10,June,7,2010,14:00,weekday,13984.58211,83.48
7-Jun-10,June,7,2010,15:00,weekday,14019.22571,83.48
7-Jun-10,June,7,2010,16:00,weekday,14013.86237,80.78
7-Jun-10,June,7,2010,17:00,weekday,14132.37644,86.18
7-Jun-10,June,7,2010,18:00,weekday,14257.03203,84.38
8-Jun-10,June,8,2010,9:00,weekday,11181.08933,78.98
8-Jun-10,June,8,2010,10:00,weekday,11903.69385,77.18
8-Jun-10,June,8,2010,11:00,weekday,12378.77535,78.98
8-Jun-10,June,8,2010,12:00,weekday,12149.07012,80.78
8-Jun-10,June,8,2010,13:00,weekday,12114.03577,82.58
8-Jun-10,June,8,2010,14:00,weekday,12272.51579,84.38
8-Jun-10,June,8,2010,15:00,weekday,12508.65324,74.03
8-Jun-10,June,8,2010,16:00,weekday,12834.8569,71.78
8-Jun-10,June,8,2010,17:00,weekday,13213.53802,73.58
8-Jun-10,June,8,2010,18:00,weekday,13347.89865,75.38
9-Jun-10,June,9,2010,9:00,weekday,11667.40891,80.78
9-Jun-10,June,9,2010,10:00,weekday,12497.27285,80.78
9-Jun-10,June,9,2010,11:00,weekday,13496.14477,80.78
9-Jun-10,June,9,2010,12:00,weekday,14260.40855,82.58
9-Jun-10,June,9,2010,13:00,weekday,14820.2785,84.38
9-Jun-10,June,9,2010,14:00,weekday,15092.39095,86.18
9-Jun-10,June,9,2010,15:00,weekday,15286.9835,87.98
9-Jun-10,June,9,2010,16:00,weekday,15357.45145,89.78
9-Jun-10,June,9,2010,17:00,weekday,15380.99621,89.78
