respondent,gender,region,important,prefer_comma,heard_comma,care_comma,write_following,data_noun,care_data,care_grammar,age,income,education
1,Male,Mountain,No,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,29,34602,Bachelor degree
2,not Male,East South Central,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,49,67172,Graduate degree
3,not Male,Middle Atlantic,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,43,66513,Graduate degree
4,not Male,Pacific,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,44,71672,Some college or Associate degree
5,not Male,South Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,28,107236,Some college or Associate degree
6,not Male,East South Central,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,44,85787,Graduate degree
7,not Male,Pacific,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat unimportant,25,42987,Graduate degree
8,not Male,Middle Atlantic,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,20,39836,Bachelor degree
9,Male,Pacific,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,18,76617,High school degree
10,not Male,East North Central,Yes,No,Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,78,79657,Some college or Associate degree
11,not Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,43,39883,High school degree
12,not Male,New England,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,57,72554,Graduate degree
13,not Male,Middle Atlantic,No,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,49,18653,High school degree
14,not Male,South Atlantic,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,52,139769,Graduate degree
15,Male,West South Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,82,121472,Graduate degree
16,not Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,58,85439,Graduate degree
17,Male,Mountain,Yes,Yes,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,39,50033,Some college or Associate degree
18,not Male,New England,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,48,113730,Graduate degree
19,not Male,South Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,18,70970,Graduate degree
20,not Male,East North Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,51,126146,Bachelor degree
21,not Male,New England,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,83,63016,Bachelor degree
22,not Male,New England,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,83,79094,Bachelor degree
23,Male,East North Central,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not at all,Somewhat important,52,68073,Bachelor degree
