year,title,reason,test,budget,domestic,international,runtime,votes,metascore,imdb,rating,language,country,writer,director,genre,plot
1971,Escape from the Planet of the Apes,notalk,fail,14.39,70.78,70.78,98,16126,NA,6.2,G,English,USA,"Paul Dehn, Pierre Boulle (characters creator)",Don Taylor,"Action, Sci-Fi","The world is shocked by the appearance of two talking chimpanzees, who arrived mysteriously in a U.S. spacecraft. They become the toast of society; but one man believes them to be a threat to the human race."
1971,Shaft,notalk,fail,305.06,404.7,616.83,100,10275,NA,6.6,R,English,USA,"Ernest Tidyman (screenplay), John D.F. Black (screenplay), Ernest Tidyman (novel)",Gordon Parks,"Action, Crime, Thriller",Cool black private eye John Shaft is hired by a crime lord to find and retrieve his kidnapped daughter.
1971,Straw Dogs,notalk,fail,143.86,59.41,64.76,118,37726,NA,7.6,R,English,"USA, UK","David Zelag Goodman (screenplay), Sam Peckinpah (screenplay), Gordon Williams (novel)",Sam Peckinpah,Thriller,A young American and his English wife come to rural England and face increasingly vicious local harassment.
1971,The French Connection,notalk,fail,12.66,236.85,236.85,104,62153,96,7.8,R,"English, French",USA,"Ernest Tidyman (screenplay), Robin Moore (based on the book by)",William Friedkin,"Action, Crime, Thriller",A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.
1972,The Godfather,notalk,fail,39,752.05,1496.12,175,820387,100,9.2,R,"English, Italian, Latin",USA,"Mario Puzo (screenplay), Francis Ford Coppola (screenplay), Mario Puzo (novel)",Francis Ford Coppola,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
1973,American Graffiti,men,fail,4.07,603.05,734.15,110,53010,NA,7.5,PG,English,USA,"George Lucas, Gloria Katz, Willard Huyck",George Lucas,"Comedy, Drama",A couple of high school grads spend one final night cruising the strip with their buddies before they go off to college.
1973,High Plains Drifter,notalk,fail,82.33,82.33,82.33,105,26732,NA,7.7,R,English,USA,Ernest Tidyman,Clint Eastwood,Western,A gunfighting stranger comes to the small settlement of Lago and is hired to bring the townsfolk together in an attempt to hold off three outlaws who are on their way.
1973,Sleeper,notalk,fail,10.49,96.2,96.2,89,26914,NA,7.3,PG,"English, Yiddish",USA,"Woody Allen, Marshall Brickman",Woody Allen,"Comedy, Sci-Fi",A nerdish store owner is revived out of cryostasis into a future world to fight an oppressive government.
1973,The Sting,notalk,fail,28.84,837.01,837.01,129,127707,NA,8.4,PG,English,USA,David S. Ward,George Roy Hill,"Comedy, Crime, Drama","In 1930s Chicago, a young con man seeking revenge for his murdered partner teams up with a master of the big con to win a fortune from a criminal banker."
1973,The Exorcist,pass,pass,62.93,1074.31,2111.9,122,229913,82,8,R,"English, Latin, Greek, French, German, Arabic",USA,"William Peter Blatty (written for the screen by), William Peter Blatty (novel)",William Friedkin,Horror,"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter."
1974,Young Frankenstein,men,fail,13.23,407.66,407.66,106,92291,NA,8.1,PG,"English, German",USA,"Gene Wilder (screen story and screenplay), Mel Brooks (screen story and screenplay), Mary Shelley (novel)",Mel Brooks,Comedy,"Dr. Frankenstein's grandson, after years of living down the family reputation, inherits granddad's castle and repeats the experiments."
1974,Blazing Saddles,notalk,fail,12.28,564.49,564.49,93,74209,NA,7.8,R,"English, Yiddish, German",USA,"Mel Brooks (screenplay), Norman Steinberg (screenplay), Andrew Bergman (screenplay), Richard Pryor (screenplay), Alan Uger (screenplay), Andrew Bergman (story)",Mel Brooks,"Comedy, Western","To ruin a western town, a corrupt political boss appoints a black sheriff, who promptly becomes his most formidable adversary."
1974,The Conversation,notalk,fail,7.56,20.88,20.88,113,59858,86,8,PG,English,USA,Francis Ford Coppola,Francis Ford Coppola,"Drama, Mystery, Thriller","A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that a couple he is spying on will be murdered."
1974,The Texas Chain Saw Massacre,notalk,fail,0.66,125.52,125.52,83,72457,75,7.5,R,English,USA,"Kim Henkel (story), Tobe Hooper (story)",Tobe Hooper,Horror,Five friends visiting their grandfather's house in the country are hunted and terrorized by a chain-saw wielding killer and his family of grave-robbing cannibals.
1974,The Towering Inferno,notalk,fail,0.66,125.52,125.52,165,24571,NA,6.9,PG,English,USA,"Richard Martin Stern (novel), Thomas N. Scortia (novel), Frank M. Robinson (novel), Stirling Silliphant (screenplay)",John Guillermin,Action,"At the opening party of a collosal, but poorly constructed, office building, a massive fire breaks out that threatens to destroy the tower and everyone in it."
1974,Black Christmas,pass,pass,42.51,76.69,76.69,98,17367,NA,7.3,R,English,Canada,Roy Moore (screenplay),Bob Clark,"Horror, Mystery, Thriller",A sorority house is terrorized by a stranger who makes frightening phone calls and then murders the sorority sisters during Christmas break.
1974,The Godfather: Part II,pass,pass,61.41,270.67,270.67,200,540581,80,9.1,R,"English, Italian, Spanish, Latin, Sicilian",USA,"Francis Ford Coppola (screenplay), Mario Puzo (screenplay), Mario Puzo (based on the novel ""The Godfather"" by)",Francis Ford Coppola,"Crime, Drama","The early life and career of Vito Corleone in 1920s New York is portrayed while his son, Michael, expands and tightens his grip on his crime syndicate stretching from Lake Tahoe, Nevada to pre-revolution 1958 Cuba."
1975,The Rocky Horror Picture Show,dubious,fail,5.19,605.4,605.4,100,79895,58,7.4,R,English,"UK, USA","Richard O'Brien (original musical play), Jim Sharman (screenplay), Richard O'Brien (screenplay)",Jim Sharman,"Comedy, Musical",A newly engaged couple have a breakdown in an isolated area and must pay a call to the bizarre residence of Dr. Frank-N-Furter.
1975,Monty Python and the Holy Grail,men,fail,1.73,14.84,21.77,91,284261,90,8.4,PG,"English, French, Latin",UK,"Graham Chapman, John Cleese, Eric Idle, Terry Gilliam, Terry Jones, Michael Palin","Terry Gilliam, Terry Jones","Adventure, Comedy, Fantasy","King Arthur and his knights embark on a low-budget search for the Grail, encountering many very silly obstacles."
1975,Barry Lyndon,notalk,fail,47.61,86.56,86.56,184,74769,NA,8.1,PG,"English, German, French","UK, USA","Stanley Kubrick (written for the screen by), William Makepeace Thackeray (novel)",Stanley Kubrick,Drama,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
1975,Jaws,notalk,fail,51.94,1125.31,2037.24,124,290173,79,8.1,PG,English,USA,"Peter Benchley (screenplay), Carl Gottlieb (screenplay), Peter Benchley (novel)",Steven Spielberg,"Adventure, Horror, Thriller","When a gigantic great white shark begins to menace the small island community of Amity, a police chief, a marine scientist and grizzled fisherman set out to stop it."
1976,Assault on Precinct 13,notalk,fail,122.75,82,147.47,91,24133,NA,7.4,R,English,USA,John Carpenter,John Carpenter,"Action, Crime, Thriller",The lone inhabitants of an abandoned police station are under attack by the overwhelming numbers of a seemingly unstoppable street gang.
1976,Rocky,notalk,fail,4.09,479.71,920.66,119,242348,NA,8.1,PG,English,USA,Sylvester Stallone,John G. Avildsen,"Drama, Sport","Rocky Balboa, a small-time boxer gets a supremely rare chance to fight the heavy-weight champion, Apollo Creed, in a bout in which he strives to go the distance for his self-respect."
1976,Silent Movie,notalk,fail,18,147.9,147.9,87,9951,NA,6.6,PG,N/A,USA,"Mel Brooks (screenplay), Ron Clark (screenplay), Rudy De Luca (screenplay), Barry Levinson (screenplay), Ron Clark (story)",Mel Brooks,Comedy,A film director and his strange friends struggle to produce the first major silent feature film in forty years.
1976,Taxi Driver,notalk,fail,4.09,115.65,115.65,113,351083,93,8.4,R,"English, Spanish",USA,Paul Schrader,Martin Scorsese,"Crime, Drama","A mentally unstable Vietnam war veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process."
1976,Family Plot,pass,pass,12.28,54.01,54.01,120,12236,NA,6.8,PG,English,USA,"Ernest Lehman (screenplay), Victor Canning (novel)",Alfred Hitchcock,"Comedy, Thriller",Lighthearted suspense film about a phony psychic/con artist and her taxi driver/private investigator boyfriend who encounter a pair of serial kidnappers while trailing a missing heir in California.
1976,Network,pass,pass,15.55,96.93,96.93,121,75531,NA,8.2,R,English,USA,Paddy Chayefsky (by),Sidney Lumet,Drama,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.
1976,Sparkle,pass,pass,40.92,99.83,100.91,98,853,NA,7.1,PG,English,USA,"Howard Rosenman (story), Joel Schumacher",Sam O'Steen,"Drama, Music",A girl group experiences turmoil after one of their members turns to drugs and another achieves their desired fame all by herself.
1977,A Bridge Too Far,notalk,fail,99.92,195.23,195.23,175,32766,NA,7.4,PG,"English, German, Dutch, Polish, Latin","USA, UK","Cornelius Ryan (book), William Goldman (screenplay)",Richard Attenborough,"Drama, History, War","A historical telling of the failed attempt to capture several bridges on a road to Germany in World War II, in a campaign called Operation Market-Garden."
1977,Close Encounters of the Third Kind,notalk,fail,76.86,637.96,1297.83,137,109786,91,7.7,PG,"English, French, Spanish, Hindi",USA,Steven Spielberg,Steven Spielberg,"Adventure, Drama, Sci-Fi","After an encounter with UFOs, a line worker feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen."
1977,High Anxiety,notalk,fail,13.07,119.38,119.38,94,11500,NA,6.7,PG,English,USA,"Mel Brooks, Ron Clark, Rudy De Luca, Barry Levinson",Mel Brooks,Comedy,"Dr. Richard Thorndyke arrives as new administrator of the Psychoneurotic Institute for the Very, VERY Nervous to discover some suspicious goings-on. When he's framed for murder, Dr. ..."
1977,Annie Hall,pass,pass,15.37,147.01,147.01,93,138710,NA,8.2,PG,"English, German",USA,"Woody Allen, Marshall Brickman",Woody Allen,"Comedy, Romance",Neurotic New York comedian Alvy Singer falls in love with the ditsy Annie Hall.
1977,Julia,pass,pass,23.06,0.25,5.25,117,5112,NA,7.5,PG,"English, French, German, Russian",USA,"Lillian Hellman (based upon the story by), Alvin Sargent (screenplay)",Fred Zinnemann,Drama,"At the behest of an old and dear friend, playwright Lillian Hellman undertakes a dangerous mission to smuggle funds into Nazi Germany."
1978,Halloween,dubious,fail,53.56,208.06,276.78,91,121971,85,7.9,R,English,USA,"John Carpenter (screenplay), Debra Hill (screenplay)",John Carpenter,"Horror, Thriller","A psychotic murderer institutionalized since childhood for the murder of his sister, escapes and stalks a bookish teenage girl and her friends while his doctor chases him through the streets."
1978,Animal House,men,fail,10.71,505.61,505.61,109,74769,82,7.7,R,"English, Italian",USA,"Harold Ramis, Douglas Kenney, Chris Miller",John Landis,"Comedy, Romance","At a 1962 College, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him."
1978,Superman,notalk,fail,196.39,479.25,1071.93,143,99252,86,7.4,PG,English,"USA, UK","Jerry Siegel (creator), Joe Shuster (creator), Mario Puzo (story), Mario Puzo (screenplay), David Newman (screenplay), Leslie Newman (screenplay), Robert Benton (screenplay)",Richard Donner,"Action, Fantasy, Sci-Fi","An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero."
1978,The Deer Hunter,notalk,fail,53.56,178.54,178.54,182,173855,73,8.2,R,"English, Russian, Vietnamese, French","UK, USA","Michael Cimino (story), Deric Washburn (story), Louis Garfinkle (story), Quinn K. Redeker (story), Deric Washburn (screenplay)",Michael Cimino,"Drama, War",An in-depth examination of the way that the Vietnam war affects the lives of people in a small industrial town in the USA.
1978,Days of Heaven,pass,pass,10.71,12.31,13.07,94,28137,93,8,PG,"English, Italian",USA,Terrence Malick,Terrence Malick,"Drama, Romance",A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.
1978,Grease,pass,pass,21.42,649.2,1383.7,110,122176,70,7.2,PG-13,English,USA,"Jim Jacobs (based on the original musical by), Warren Casey (based on the original musical by), Bronte Woodard (screenplay), Allan Carr (adaptation)",Randal Kleiser,"Musical, Romance","Good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?"
