id,artist,artistId,title,medium,creation_year,acquisition_year,width,height,url,gender,birth_year
2249,"Clarke Hall, Lady Edna",914,Catherine Leaning on a Wall,Ink and watercolour on paper,1900,1941,27.9,21.6,http://www.tate.org.uk/art/artworks/clarke-hall-catherine-leaning-on-a-wall-a01064,Female,1879
2252,"Clarke Hall, Lady Edna",914,Seated Woman,Ink and watercolour on paper,1899,1941,35.6,25.4,http://www.tate.org.uk/art/artworks/clarke-hall-seated-woman-a01067,Female,1879
2257,"Clarke Hall, Lady Edna",914,Study for Catherine. Verso: Upminster Common,Ink on paper. Verso: ink and watercolour on paper,1902,1941,17.8,22.9,http://www.tate.org.uk/art/artworks/clarke-hall-study-for-catherine-verso-upminster-common-a01072,Female,1879
12180,"Potter, Helen Beatrix",1794,Frontispiece: The Tailor Mouse,"Ink, watercolour and gouache on paper",1902,1946,11.1,9.2,http://www.tate.org.uk/art/artworks/potter-frontispiece-the-tailor-mouse-a01089,Female,1866
12181,"Potter, Helen Beatrix",1794,The Tailor of Gloucester at Work,"Ink, watercolour and gouache on paper",1902,1946,11.1,9.2,http://www.tate.org.uk/art/artworks/potter-the-tailor-of-gloucester-at-work-a01090,Female,1866
12182,"Potter, Helen Beatrix",1794,Lady Mouse in Mob Cap,"Ink, watercolour and gouache on paper",1902,1946,11.1,9.2,http://www.tate.org.uk/art/artworks/potter-lady-mouse-in-mob-cap-a01091,Female,1866
12183,"Potter, Helen Beatrix",1794,The Tailor Leaving his Workshop,"Ink, watercolour and gouache on paper",1902,1946,11.1,9.2,http://www.tate.org.uk/art/artworks/potter-the-tailor-leaving-his-workshop-a01092,Female,1866
12184,"Potter, Helen Beatrix",1794,The Tailor Returning Home,"Ink, watercolour and gouache on paper",1902,1946,11.1,9.2,http://www.tate.org.uk/art/artworks/potter-the-tailor-returning-home-a01093,Female,1866
12185,"Potter, Helen Beatrix",1794,Simpkin Housekeeping,"Ink, watercolour and gouache on paper",1902,1946,11.1,9.2,http://www.tate.org.uk/art/artworks/potter-simpkin-housekeeping-a01094,Female,1866
12186,"Potter, Helen Beatrix",1794,The Tailor by the Hearth,"Ink, watercolour and gouache on paper",1902,1946,11.1,9.2,http://www.tate.org.uk/art/artworks/potter-the-tailor-by-the-hearth-a01095,Female,1866
12187,"Potter, Helen Beatrix",1794,The Tailor Hears Noises,"Ink, watercolour and gouache on paper",1902,1946,11.1,9.2,http://www.tate.org.uk/art/artworks/potter-the-tailor-hears-noises-a01096,Female,1866
12188,"Potter, Helen Beatrix",1794,The Mice Escape,"Ink, watercolour and gouache on paper",1902,1946,11.1,9.2,http://www.tate.org.uk/art/artworks/potter-the-mice-escape-a01097,Female,1866
12189,"Potter, Helen Beatrix",1794,The Mice Listen to the Tailor<U+0092>s Lament,"Ink, watercolour and gouache on paper",1902,1946,11.1,9.2,http://www.tate.org.uk/art/artworks/potter-the-mice-listen-to-the-tailors-lament-a01098,Female,1866
12190,"Potter, Helen Beatrix",1794,<U+0091>Where is My Twist?<U+0092>,"Ink, watercolour and gouache on paper",1902,1946,11.1,9.2,http://www.tate.org.uk/art/artworks/potter-where-is-my-twist-a01099,Female,1866
12191,"Potter, Helen Beatrix",1794,The Mice at Work: Threading the Needle,"Ink, watercolour and gouache on paper",1902,1946,11.1,9.2,http://www.tate.org.uk/art/artworks/potter-the-mice-at-work-threading-the-needle-a01100,Female,1866
12192,"Potter, Helen Beatrix",1794,Simpkin Goes Out,"Ink, watercolour and gouache on paper",1902,1946,11.1,9.2,http://www.tate.org.uk/art/artworks/potter-simpkin-goes-out-a01101,Female,1866
12193,"Potter, Helen Beatrix",1794,Simpkin in the Snowy Street,"Ink, watercolour and gouache on paper",1902,1946,11.1,9.2,http://www.tate.org.uk/art/artworks/potter-simpkin-in-the-snowy-street-a01102,Female,1866
12194,"Potter, Helen Beatrix",1794,Simpkin Hears the Mice,"Ink, watercolour and gouache on paper",1902,1946,11.1,9.2,http://www.tate.org.uk/art/artworks/potter-simpkin-hears-the-mice-a01103,Female,1866
12195,"Potter, Helen Beatrix",1794,The Mice Sewing the Mayor<U+0092>s Coat,"Ink, watercolour and gouache on paper",1902,1946,9.2,11.1,http://www.tate.org.uk/art/artworks/potter-the-mice-sewing-the-mayors-coat-a01104,Female,1866
12196,"Potter, Helen Beatrix",1794,The Mice Hear Simpkin Outside,"Ink, watercolour and gouache on paper",1902,1946,9.2,11.1,http://www.tate.org.uk/art/artworks/potter-the-mice-hear-simpkin-outside-a01105,Female,1866
12197,"Potter, Helen Beatrix",1794,Simpkin at the Tailor<U+0092>s Bedside,"Ink, watercolour and gouache on paper",1902,1946,11.1,9.2,http://www.tate.org.uk/art/artworks/potter-simpkin-at-the-tailors-bedside-a01106,Female,1866
12198,"Potter, Helen Beatrix",1794,The Tailor and Simpkin Set Out for the Shop,"Ink, watercolour and gouache on paper",1902,1946,11.1,9.2,http://www.tate.org.uk/art/artworks/potter-the-tailor-and-simpkin-set-out-for-the-shop-a01107,Female,1866
12199,"Potter, Helen Beatrix",1794,The Finished Coat,"Ink, watercolour and gouache on paper",1902,1946,11.1,9.2,http://www.tate.org.uk/art/artworks/potter-the-finished-coat-a01108,Female,1866
12200,"Potter, Helen Beatrix",1794,<U+0091>No More Twist<U+0092>,"Ink, watercolour and gouache on paper",1902,1946,11.1,9.2,http://www.tate.org.uk/art/artworks/potter-no-more-twist-a01109,Female,1866
12201,"Potter, Helen Beatrix",1794,The Mice Stitching Button-Holes,"Ink, watercolour and gouache on paper",1902,1946,11.1,9.2,http://www.tate.org.uk/art/artworks/potter-the-mice-stitching-button-holes-a01110,Female,1866
95724,"Gallagher, Ellen",9553,Paper Cup,Ink on paper on canvas,1996,2008,213.5,183,http://www.tate.org.uk/art/artworks/gallagher-paper-cup-ar00066,Female,1965
95725,"Gallagher, Ellen",9553,Untitled,Oil paint and enamel on paper on canvas,1998,2008,305.3,244.4,http://www.tate.org.uk/art/artworks/gallagher-untitled-ar00067,Female,1965
95898,"Holzer, Jenny",1307,Protect Protect,Oil paint on canvas,2007,2008,201.1,260,http://www.tate.org.uk/art/artworks/holzer-protect-protect-ar00083,Female,1950
95899,"Holzer, Jenny",1307,Shape the Battlespace,Oil paint on canvas,2007,2008,201.1,260.2,http://www.tate.org.uk/art/artworks/holzer-shape-the-battlespace-ar00084,Female,1950
95853,"Celmins, Vija",2731,Untitled (Desert-Galaxy),Graphite on acrylic ground on paper,1974,2008,44.2,95.6,http://www.tate.org.uk/art/artworks/celmins-untitled-desert-galaxy-ar00162,Female,1938
95856,"Celmins, Vija",2731,Night Sky #19,Charcoal on paper,1998,2008,57,67.3,http://www.tate.org.uk/art/artworks/celmins-night-sky-19-ar00163,Female,1938
95857,"Celmins, Vija",2731,Web #1,Charcoal on paper,1999,2008,56.5,64.9,http://www.tate.org.uk/art/artworks/celmins-web-1-ar00164,Female,1938
98287,"Martin, Agnes",1583,Untitled #5,Acrylic paint and graphite on canvas,1994,2009,152.5,152.8,http://www.tate.org.uk/art/artworks/martin-untitled-5-ar00177,Female,1912
98288,"Martin, Agnes",1583,Faraway Love,Acrylic paint and graphite on canvas,1999,2009,152.5,152.5,http://www.tate.org.uk/art/artworks/martin-faraway-love-ar00178,Female,1912
98992,"Martin, Agnes",1583,Happy Holiday,Acrylic paint and graphite on canvas,1999,2009,152.5,152.5,http://www.tate.org.uk/art/artworks/martin-happy-holiday-ar00179,Female,1912
93173,"Woodman, Francesca",10512,Untitled,"Photograph, gelatine silver print on paper on ink on paper",1975,2009,10.9,10.9,http://www.tate.org.uk/art/artworks/woodman-untitled-ar00347,Female,1958
93174,"Woodman, Francesca",10512,"Eel Series, Roma, May 1977 - August 1978","Photograph, gelatine silver print on paper",1977,2009,21.9,21.8,http://www.tate.org.uk/art/artworks/woodman-eel-series-roma-may-1977-august-1978-ar00348,Female,1958
93175,"Woodman, Francesca",10512,"Space<U+00B2>, Providence, Rhode Island, 1975-1978","Photograph, gelatine silver print on paper",1975,2009,13.9,13.9,http://www.tate.org.uk/art/artworks/woodman-space2-providence-rhode-island-1975-1978-ar00349,Female,1958
93176,"Woodman, Francesca",10512,"Space<U+00B2>, Providence, Rhode Island, 1975-1978","Photograph, gelatine silver print on paper",1975,2009,14,14,http://www.tate.org.uk/art/artworks/woodman-space2-providence-rhode-island-1975-1978-ar00350,Female,1958
93177,"Woodman, Francesca",10512,Untitled,"Photograph, gelatine silver print on paper",1975,2009,14.1,14,http://www.tate.org.uk/art/artworks/woodman-untitled-ar00351,Female,1958
93178,"Woodman, Francesca",10512,"Providence, Rhode Island, 1976","Photograph, gelatine silver print on paper",1976,2009,14.3,14.4,http://www.tate.org.uk/art/artworks/woodman-providence-rhode-island-1976-ar00352,Female,1958
93179,"Woodman, Francesca",10512,"Italy, May 1977 - August 1978","Photograph, gelatine silver print on paper",1977,2009,14.3,15.8,http://www.tate.org.uk/art/artworks/woodman-italy-may-1977-august-1978-ar00353,Female,1958
93180,"Woodman, Francesca",10512,"From Angel Series, Roma, September 1977","Photograph, gelatine silver print on paper",1977,2009,9.3,9.3,http://www.tate.org.uk/art/artworks/woodman-from-angel-series-roma-september-1977-ar00354,Female,1958
93181,"Woodman, Francesca",10512,Untitled,"Photograph, gelatine silver print on paper",1975,2009,12.8,12.9,http://www.tate.org.uk/art/artworks/woodman-untitled-ar00355,Female,1958
93182,"Woodman, Francesca",10512,Untitled,"Photograph, gelatine silver print on paper and ink",1975,2009,14.4,14.6,http://www.tate.org.uk/art/artworks/woodman-untitled-ar00356,Female,1958
93183,"Woodman, Francesca",10512,Untitled,"Photograph, gelatine silver print on paper",1975,2009,14,14,http://www.tate.org.uk/art/artworks/woodman-untitled-ar00357,Female,1958
93184,"Woodman, Francesca",10512,Untitled,"Photograph, gelatine silver print on paper",1975,2009,15.6,15.6,http://www.tate.org.uk/art/artworks/woodman-untitled-ar00358,Female,1958
93185,"Woodman, Francesca",10512,Untitled,"Photograph, gelatine silver print on paper",1975,2009,10.9,10.9,http://www.tate.org.uk/art/artworks/woodman-untitled-ar00359,Female,1958
93186,"Woodman, Francesca",10512,Untitled,"Photograph, gelatine silver print on paper on ink on paper",1975,2009,14.3,14.4,http://www.tate.org.uk/art/artworks/woodman-untitled-ar00360,Female,1958
93187,"Woodman, Francesca",10512,Untitled,"Photograph, gelatine silver print on paper",1975,2009,13.5,13.3,http://www.tate.org.uk/art/artworks/woodman-untitled-ar00361,Female,1958
93188,"Woodman, Francesca",10512,Untitled,"Photograph, gelatine silver print on paper",1975,2009,9.8,10.5,http://www.tate.org.uk/art/artworks/woodman-untitled-ar00362,Female,1958
93189,"Woodman, Francesca",10512,Untitled,"Photograph, gelatine silver print on paper",1975,2009,15.2,15.2,http://www.tate.org.uk/art/artworks/woodman-untitled-ar00363,Female,1958
93190,"Woodman, Francesca",10512,Untitled (FW crouching behind umbrella),"Photograph, gelatine silver print on paper",1980,2009,17.1,16.5,http://www.tate.org.uk/art/artworks/woodman-untitled-fw-crouching-behind-umbrella-ar00364,Female,1958
95861,"Celmins, Vija",2731,Drypoint - Ocean Surface,Drypoint on paper,1983,2009,18.6,23.9,http://www.tate.org.uk/art/artworks/celmins-drypoint-ocean-surface-ar00467,Female,1938
95863,"Celmins, Vija",2731,Dec-84,Mezzotint on paper,1985,2009,40.7,38.8,http://www.tate.org.uk/art/artworks/celmins-december-1984-ar00468,Female,1938
95864,"Celmins, Vija",2731,Concentric Bearings A,"Aquatint, photo-etching and drypoint on paper",1984,2009,60.8,46.8,http://www.tate.org.uk/art/artworks/celmins-concentric-bearings-a-ar00469,Female,1938
95865,"Celmins, Vija",2731,Concentric Bearings D,"Mezzotint, aquatint and drypoint on paper",1985,2009,45.7,56.7,http://www.tate.org.uk/art/artworks/celmins-concentric-bearings-d-ar00470,Female,1938
95866,"Celmins, Vija",2731,Mount Holyoke,Etching on paper,1987,2009,19.3,24.7,http://www.tate.org.uk/art/artworks/celmins-mount-holyoke-ar00471,Female,1938
95867,"Celmins, Vija",2731,Untitled (Source Materials),Iris print on paper,1999,2009,35.7,30.9,http://www.tate.org.uk/art/artworks/celmins-untitled-source-materials-ar00472,Female,1938
95868,"Celmins, Vija",2731,Ocean Surface Wood Engraving 2000,Wood engraving on paper,2000,2009,20.7,25.7,http://www.tate.org.uk/art/artworks/celmins-ocean-surface-wood-engraving-2000-ar00473,Female,1938
95869,"Celmins, Vija",2731,Night Sky 1 Reversed,"Photo-etching, aquatint and drypoint on paper",2002,2009,39.2,48.5,http://www.tate.org.uk/art/artworks/celmins-night-sky-1-reversed-ar00474,Female,1938
95870,"Celmins, Vija",2731,Night Sky 2 Reversed,"Photo-etching, aquatint and drypoint on paper",2002,2009,38.7,48,http://www.tate.org.uk/art/artworks/celmins-night-sky-2-reversed-ar00475,Female,1938
95871,"Celmins, Vija",2731,Untitled (Web 1),Mezzotint on paper,2001,2009,17.5,19.4,http://www.tate.org.uk/art/artworks/celmins-untitled-web-1-ar00476,Female,1938
