skips,solder,size,Mask,PadType,Panel
0,thick,large,A1.5,W4,1
0,thick,large,A1.5,W4,2
0,thick,large,A1.5,W4,3
0,thick,large,A1.5,D4,1
0,thick,large,A1.5,D4,2
0,thick,large,A1.5,D4,3
0,thick,large,A1.5,L4,1
0,thick,large,A1.5,L4,2
0,thick,large,A1.5,L4,3
0,thick,large,A1.5,D6,1
0,thick,large,A1.5,D6,2
0,thick,large,A1.5,D6,3
0,thick,large,A1.5,L6,1
0,thick,large,A1.5,L6,2
0,thick,large,A1.5,L6,3
0,thick,large,A1.5,D7,1
0,thick,large,A1.5,D7,2
0,thick,large,A1.5,D7,3
0,thick,large,A1.5,L7,1
0,thick,large,A1.5,L7,2
0,thick,large,A1.5,L7,3
0,thick,large,A1.5,L8,1
0,thick,large,A1.5,L8,2
0,thick,large,A1.5,L8,3
0,thick,large,A1.5,W9,1
0,thick,large,A1.5,W9,2
0,thick,large,A1.5,W9,3
0,thick,large,A1.5,L9,1
0,thick,large,A1.5,L9,2
0,thick,large,A1.5,L9,3
2,thick,large,A3,W4,1
0,thick,large,A3,W4,2
1,thick,large,A3,W4,3
0,thick,large,A3,D4,1
0,thick,large,A3,D4,2
0,thick,large,A3,D4,3
0,thick,large,A3,L4,1
1,thick,large,A3,L4,2
0,thick,large,A3,L4,3
0,thick,large,A3,D6,1
0,thick,large,A3,D6,2
0,thick,large,A3,D6,3
0,thick,large,A3,L6,1
0,thick,large,A3,L6,2
0,thick,large,A3,L6,3
0,thick,large,A3,D7,1
0,thick,large,A3,D7,2
0,thick,large,A3,D7,3
0,thick,large,A3,L7,1
0,thick,large,A3,L7,2
1,thick,large,A3,L7,3
0,thick,large,A3,L8,1
0,thick,large,A3,L8,2
0,thick,large,A3,L8,3
0,thick,large,A3,W9,1
0,thick,large,A3,W9,2
0,thick,large,A3,W9,3
0,thick,large,A3,L9,1
0,thick,large,A3,L9,2
0,thick,large,A3,L9,3
0,thick,large,A3,W4,1
0,thick,large,A3,W4,2
0,thick,large,A3,W4,3
0,thick,large,A3,D4,1
0,thick,large,A3,D4,2
0,thick,large,A3,D4,3
0,thick,large,A3,L4,1
0,thick,large,A3,L4,2
0,thick,large,A3,L4,3
0,thick,large,A3,D6,1
0,thick,large,A3,D6,2
0,thick,large,A3,D6,3
0,thick,large,A3,L6,1
0,thick,large,A3,L6,2
0,thick,large,A3,L6,3
0,thick,large,A3,D7,1
0,thick,large,A3,D7,2
0,thick,large,A3,D7,3
0,thick,large,A3,L7,1
0,thick,large,A3,L7,2
0,thick,large,A3,L7,3
0,thick,large,A3,L8,1
0,thick,large,A3,L8,2
0,thick,large,A3,L8,3
0,thick,large,A3,W9,1
0,thick,large,A3,W9,2
0,thick,large,A3,W9,3
0,thick,large,A3,L9,1
0,thick,large,A3,L9,2
0,thick,large,A3,L9,3
0,thick,large,B3,W4,1
0,thick,large,B3,W4,2
1,thick,large,B3,W4,3
0,thick,large,B3,D4,1
0,thick,large,B3,D4,2
0,thick,large,B3,D4,3
1,thick,large,B3,L4,1
5,thick,large,B3,L4,2
2,thick,large,B3,L4,3
0,thick,large,B3,D6,1
1,thick,large,B3,D6,2
3,thick,large,B3,D6,3
3,thick,large,B3,L6,1
3,thick,large,B3,L6,2
1,thick,large,B3,L6,3
0,thick,large,B3,D7,1
0,thick,large,B3,D7,2
2,thick,large,B3,D7,3
0,thick,large,B3,L7,1
2,thick,large,B3,L7,2
0,thick,large,B3,L7,3
3,thick,large,B3,L8,1
2,thick,large,B3,L8,2
2,thick,large,B3,L8,3
0,thick,large,B3,W9,1
0,thick,large,B3,W9,2
0,thick,large,B3,W9,3
0,thick,large,B3,L9,1
0,thick,large,B3,L9,2
0,thick,large,B3,L9,3
6,thick,large,B6,W4,1
8,thick,large,B6,W4,2
3,thick,large,B6,W4,3
1,thick,large,B6,D4,1
0,thick,large,B6,D4,2
1,thick,large,B6,D4,3
0,thick,large,B6,L4,1
0,thick,large,B6,L4,2
0,thick,large,B6,L4,3
0,thick,large,B6,D6,1
0,thick,large,B6,D6,2
0,thick,large,B6,D6,3
0,thick,large,B6,L6,1
0,thick,large,B6,L6,2
0,thick,large,B6,L6,3
0,thick,large,B6,D7,1
0,thick,large,B6,D7,2
0,thick,large,B6,D7,3
0,thick,large,B6,L7,1
0,thick,large,B6,L7,2
0,thick,large,B6,L7,3
1,thick,large,B6,L8,1
0,thick,large,B6,L8,2
0,thick,large,B6,L8,3
1,thick,large,B6,W9,1
1,thick,large,B6,W9,2
0,thick,large,B6,W9,3
0,thick,large,B6,L9,1
1,thick,large,B6,L9,2
0,thick,large,B6,L9,3
0,thick,medium,A1.5,W4,1
0,thick,medium,A1.5,W4,2
0,thick,medium,A1.5,W4,3
0,thick,medium,A1.5,D4,1
1,thick,medium,A1.5,D4,2
0,thick,medium,A1.5,D4,3
0,thick,medium,A1.5,L4,1
2,thick,medium,A1.5,L4,2
1,thick,medium,A1.5,L4,3
0,thick,medium,A1.5,D6,1
0,thick,medium,A1.5,D6,2
0,thick,medium,A1.5,D6,3
0,thick,medium,A1.5,L6,1
0,thick,medium,A1.5,L6,2
0,thick,medium,A1.5,L6,3
