index,series_name,network,season,title,rating,engagement,date,time,format,monster_name,monster_type,monster_subtype,monster_species,monster_real,monsters,setting,location,suspects,arrested,culprit_name,culprits,motive,door_gag,scrappy,snacks,zoinks,groovy
1,"Scooby Doo, Where Are You!",CBS,1,What a Night for a Knight,8.1,556,9/13/1969,21,TV Series,Black Knight,Possessed Object,Suit,Object,FALSE,1,Urban,United States,2,TRUE,Mr. Wickles,1,Theft,FALSE,FALSE,2,1,0
2,"Scooby Doo, Where Are You!",CBS,1,A Clue for Scooby Doo,8.1,479,9/20/1969,22,TV Series,Ghost of Cptn. Cuttler,Ghost,Suit,Human,FALSE,1,Coast,United States,2,TRUE,Cptn. Cuttler,1,Theft,FALSE,FALSE,1,3,0
3,"Scooby Doo, Where Are You!",CBS,1,Hassle in the Castle,8,455,9/27/1969,21,TV Series,Phantom,Ghost,Phantom,Human,FALSE,1,Island,United States,0,TRUE,Bluestone the Great,1,Treasure,FALSE,FALSE,3,1,2
4,"Scooby Doo, Where Are You!",CBS,1,Mine Your Own Business,7.8,426,10/4/1969,21,TV Series,Miner 49'er,Ancient,Miner,Human,FALSE,1,Cave,California,2,TRUE,Hank,1,Natural Resource,FALSE,FALSE,2,2,1
5,"Scooby Doo, Where Are You!",CBS,1,Decoy for a Dognapper,7.5,391,10/11/1969,21,TV Series,Indian Witch Doctor,Ancient,Witch Doctor,Human,FALSE,1,Desert,United States,1,TRUE,Buck Master,1,Competition,FALSE,FALSE,2,0,0
6,"Scooby Doo, Where Are You!",CBS,1,What the Hex Going On?,8.4,384,10/18/1969,21,TV Series,Ghost of Elias Kingston,Ghost,Phantom,Human,FALSE,1,Urban,United States,2,TRUE,Uncle Stuart,1,Extortion,FALSE,FALSE,4,2,0
7,"Scooby Doo, Where Are You!",CBS,1,Never Ape an Ape Man,7.6,358,10/25/1969,21,TV Series,Ape Man,Animal,Half-Human,Ape,FALSE,1,Desert,United States,1,TRUE,Carl,1,Competition,FALSE,FALSE,4,1,1
8,"Scooby Doo, Where Are You!",CBS,1,Foul Play in Funland,8.2,358,11/1/1969,21,TV Series,Charlie the Robot,Mechanical,Humanoid,Robot,FALSE,1,Urban,United States,2,FALSE,Sarah Jenkins,1,Safety,TRUE,FALSE,0,0,0
9,"Scooby Doo, Where Are You!",CBS,1,The Backstage Rage,8.1,371,11/8/1969,21,TV Series,Puppet Master,Ghost,Pupeteer,Human,FALSE,1,Urban,United States,1,TRUE,Mr. Pietro,1,Counterfeit,FALSE,FALSE,1,0,0
10,"Scooby Doo, Where Are You!",CBS,1,Bedlam in the Big Top,8,346,11/15/1969,21,TV Series,Ghost Clown,Ghost,Clown,Human,FALSE,1,Forest,United States,1,TRUE,Harry the Hypnotist,1,Competition,FALSE,FALSE,0,0,0
11,"Scooby Doo, Where Are You!",CBS,1,A Gaggle of Galloping Ghosts,8.5,379,11/22/1969,21,TV Series,"Werewolf,Dracula,Frankenstein's Monster","Animal,Undead,Undead","Werewolf,Vampire,Frankenstein's Monster","Human,Human,Human",FALSE,3,Forest,United States,1,TRUE,Big Bob Oakly,1,Treasure,FALSE,FALSE,0,0,0
12,"Scooby Doo, Where Are You!",CBS,1,"Scooby-Doo and a Mummy, Too",8.2,358,11/29/1969,21,TV Series,Mummy of Ankha,Undead,Mummy,Human,FALSE,1,Urban,United States,1,TRUE,Dr. Najib,1,Theft,FALSE,FALSE,0,6,1
13,"Scooby Doo, Where Are You!",CBS,1,Which Witch is Which,8.4,356,12/6/1969,21,TV Series,"Zombie,Witch","Undead,Magician","Zombie,Witch","Human,Human",FALSE,2,Swamp,United States,2,TRUE,"Zeke,Zeb Perkins",2,Theft,FALSE,FALSE,0,3,0
14,"Scooby Doo, Where Are You!",CBS,1,Go Away Ghost Ship,8.1,331,12/13/1969,22,TV Series,Ghost of Redbeard,Ghost,Pirate,Human,FALSE,1,Ocean,United States,2,TRUE,Mr. Magnus,1,Theft,FALSE,FALSE,0,5,0
15,"Scooby Doo, Where Are You!",CBS,1,Spooky Space Kook,8.4,372,12/20/1969,21,TV Series,Spooky Space Kook,Extraterrestrial,Phantom,Alien,FALSE,1,Rural,United States,1,TRUE,Henry Bascombe,1,Competition,FALSE,FALSE,0,8,0
16,"Scooby Doo, Where Are You!",CBS,1,A Night of Fright Is No Delight,8.7,403,1/10/1970,21,TV Series,"Green Ghost,Green Ghost","Ghost,Ghost","Phantom,Phantom","Human,Human",FALSE,2,Island,United States,3,TRUE,"Cosgood Creeps,Mr. Crawls",2,Inheritance,FALSE,FALSE,1,3,0
17,"Scooby Doo, Where Are You!",CBS,1,That's Snow Ghost,8,328,1/17/1970,21,TV Series,Snow Ghost,Ghost,Snow,Yeti,FALSE,1,Snow,United States,3,TRUE,Mr. Greenway,1,Theft,FALSE,FALSE,0,4,0
18,"Scooby Doo, Where Are You!",CBS,2,Nowhere to Hyde,8.3,322,9/12/1970,21,TV Series,Ghost of Mr. Hyde,Ghost,Split-Personality,Human,FALSE,1,Forest,United States,2,TRUE,Dr. Jekyll,1,Theft,FALSE,FALSE,0,3,0
