animal_id	animal_type	animal_breed	month	year	census_tract	council_district	intake_type	intake_date	outcome_type	outcome_date	chip_status	animal_origin
1	DOG	RHOD RIDGEBACK	FEB	2017	1502	2	CONFISCATED	2/20/2017	DEAD ON ARRIVAL	2/21/2017	SCAN NO CHIP	FIELD
2	DOG	YORKSHIRE TERR	NOV	2016	13609	11	STRAY	11/19/2016	RETURNED TO OWNER	11/19/2016	SCAN CHIP	FIELD
3	BIRD	CHICKEN	AUG	2017	10803	3	STRAY	8/7/2017	TRANSFER	8/8/2017	SCAN NO CHIP	FIELD
4	DOG	GERM SHEPHERD	DEC	2016	7102	2	STRAY	12/15/2016	ADOPTION	12/20/2016	SCAN NO CHIP	FIELD
5	DOG	GERM SHEPHERD	FEB	2017	6001	4	OWNER SURRENDER	2/16/2017	ADOPTION	2/19/2017	SCAN NO CHIP	OVER THE COUNTER
6	DOG	BASSET HOUND	OCT	2016	75001	1	LOST REPORT	10/4/2016	LOST REPORT	10/4/2016	UNABLE TO SCAN	OVER THE COUNTER
7	CAT	DOMESTIC SH	SEP	2017	5200	1	STRAY	9/20/2017	FOSTER	9/28/2017	SCAN NO CHIP	OVER THE COUNTER
8	DOG	GERM SHEPHERD	SEP	2017	5600	4	STRAY	9/19/2017	RETURNED TO OWNER	9/20/2017	SCAN CHIP	SWEEP
9	CAT	DOMESTIC SH	JUL	2017	9803	6	STRAY	7/31/2017	FOSTER	8/3/2017	SCAN NO CHIP	FIELD
10	CAT	DOMESTIC SH	OCT	2016	16605	8	STRAY	10/2/2016	ADOPTION	10/26/2016	SCAN NO CHIP	OVER THE COUNTER
11	DOG	LABRADOR RETR	NOV	2016	6401	1	STRAY	11/12/2016	ADOPTION	11/17/2016	SCAN NO CHIP	OVER THE COUNTER
12	DOG	CHIHUAHUA SH	AUG	2017	4300	6	OWNER SURRENDER	8/24/2017	RETURNED TO OWNER	8/27/2017	SCAN CHIP	OVER THE COUNTER
13	WILDLIFE	GUINEA PIG	FEB	2017	12301	7	STRAY	2/27/2017	ADOPTION	3/1/2017	SCAN NO CHIP	FIELD
14	DOG	GERM SHEPHERD	JUL	2017	20500	6	STRAY	7/9/2017	ADOPTION	7/18/2017	SCAN NO CHIP	OVER THE COUNTER
15	CAT	DOMESTIC SH	AUG	2017	75238	38	LOST REPORT	8/29/2017	LOST REPORT	9/15/2017	UNABLE TO SCAN	OVER THE COUNTER
16	CAT	DOMESTIC SH	AUG	2017	20500	6	FOSTER	8/19/2017	ADOPTION	8/19/2017	SCAN NO CHIP	OVER THE COUNTER
17	CAT	DOMESTIC SH	MAY	2017	6301	4	STRAY	5/30/2017	TRANSFER	6/1/2017	SCAN NO CHIP	FIELD
18	CAT	DOMESTIC MH	JUL	2017	13626	11	OWNER SURRENDER	7/17/2017	EUTHANIZED	7/17/2017	SCAN NO CHIP	OVER THE COUNTER
19	DOG	ROTTWEILER	FEB	2017	9303	5	STRAY	2/4/2017	TRANSFER	2/7/2017	SCAN NO CHIP	FIELD
20	DOG	PIT BULL	MAR	2017	20500	6	OWNER SURRENDER	3/13/2017	ADOPTION	4/6/2017	SCAN NO CHIP	OVER THE COUNTER
21	DOG	AMERICAN STAFF	JUL	2017	9701	6	STRAY	7/6/2017	RETURNED TO OWNER	7/8/2017	SCAN NO CHIP	FIELD
22	DOG	GREAT PYRENEES	MAR	2017	9202	5	STRAY	3/13/2017	RETURNED TO OWNER	3/13/2017	SCAN NO CHIP	FIELD
23	DOG	GERM SHEPHERD	FEB	2017	6001	4	OWNER SURRENDER	2/16/2017	ADOPTION	2/19/2017	SCAN NO CHIP	OVER THE COUNTER
24	DOG	CHIHUAHUA SH	MAR	2017	2500	7	OWNER SURRENDER	3/2/2017	TRANSFER	3/8/2017	SCAN NO CHIP	OVER THE COUNTER
25	DOG	PIT BULL	JUN	2017	20300	7	STRAY	6/7/2017	TRANSFER	6/17/2017	SCAN NO CHIP	FIELD
26	DOG	GERM SHEPHERD	NOV	2016	5500	4	STRAY	11/14/2016	FOSTER	12/5/2016	SCAN NO CHIP	OVER THE COUNTER
27	CAT	DOMESTIC SH	SEP	2017	9802	6	STRAY	9/27/2017	EUTHANIZED	9/27/2017	SCAN NO CHIP	OVER THE COUNTER
28	CAT	DOMESTIC SH	JUL	2017	11103	3	STRAY	7/19/2017	EUTHANIZED	7/23/2017	UNABLE TO SCAN	OVER THE COUNTER
29	CAT	DOMESTIC SH	JUN	2017	20500	6	FOSTER	6/25/2017	ADOPTION	7/1/2017	SCAN NO CHIP	OVER THE COUNTER
30	DOG	LABRADOR RETR	JUL	2017	10601	6	STRAY	7/18/2017	RETURNED TO OWNER	7/18/2017	SCAN NO CHIP	SWEEP
31	DOG	CAIRN TERRIER	MAY	2017	401	2	OWNER SURRENDER	5/3/2017	ADOPTION	5/10/2017	SCAN NO CHIP	FIELD
32	DOG	LABRADOR RETR	FEB	2017	11103	3	CONFISCATED	2/25/2017	RETURNED TO OWNER	3/7/2017	SCAN NO CHIP	FIELD
33	DOG	PIT BULL	APR	2017	4700	1	CONFISCATED	4/20/2017	EUTHANIZED	4/20/2017	SCAN NO CHIP	FIELD
34	DOG	PIT BULL	OCT	2016	2702	7	STRAY	10/25/2016	ADOPTION	11/17/2016	SCAN NO CHIP	FIELD
35	DOG	AMERICAN STAFF	OCT	2016	UNKNOW	WN	LOST REPORT	10/28/2016	LOST REPORT	11/16/2016	SCAN NO CHIP	OVER THE COUNTER
36	DOG	LABRADOR RETR	APR	2017	11200	8	OWNER SURRENDER	4/24/2017	DIED	4/24/2017	SCAN NO CHIP	FIELD
37	DOG	STAFFORDSHIRE	JUN	2017	12500	9	STRAY	6/25/2017	TRANSFER	6/30/2017	SCAN NO CHIP	FIELD
38	CAT	DOMESTIC SH	AUG	2017	12601	9	STRAY	8/17/2017	TRANSFER	9/6/2017	SCAN NO CHIP	FIELD
39	DOG	CAIRN TERRIER	OCT	2016	12207	7	CONFISCATED	10/19/2016	TRANSFER	11/2/2016	SCAN NO CHIP	FIELD
40	DOG	PIT BULL	MAY	2017	8704	3	STRAY	5/17/2017	ADOPTION	5/25/2017	SCAN NO CHIP	FIELD
41	DOG	BULL TERRIER	APR	2017	NA	NA	LOST REPORT	4/28/2017	LOST REPORT	5/9/2017	UNABLE TO SCAN	OVER THE COUNTER
42	DOG	LABRADOR RETR	OCT	2016	11105	8	STRAY	10/20/2016	TRANSFER	11/2/2016	SCAN NO CHIP	FIELD
43	CAT	DOMESTIC SH	MAR	2017	31709	12	FOSTER	3/27/2017	TRANSFER	3/27/2017	SCAN NO CHIP	OVER THE COUNTER
44	DOG	CHIHUAHUA SH	MAR	2017	13606	11	STRAY	3/14/2017	RETURNED TO OWNER	3/15/2017	SCAN NO CHIP	OVER THE COUNTER
45	CAT	DOMESTIC SH	MAR	2017	10000	6	STRAY	3/7/2017	DEAD ON ARRIVAL	3/8/2017	UNABLE TO SCAN	OVER THE COUNTER
46	CAT	DOMESTIC SH	AUG	2017	20500	6	STRAY	8/1/2017	ADOPTION	8/11/2017	SCAN NO CHIP	OVER THE COUNTER
47	DOG	PIT BULL	DEC	2016	5500	4	STRAY	12/24/2016	ADOPTION	12/30/2016	SCAN NO CHIP	FIELD
48	CAT	DOMESTIC SH	JAN	2017	4201	1	STRAY	1/23/2017	EUTHANIZED	1/24/2017	SCAN NO CHIP	FIELD
49	DOG	CHIHUAHUA SH	APR	2017	6900	1	STRAY	4/14/2017	RETURNED TO OWNER	4/14/2017	SCAN NO CHIP	SWEEP
50	DOG	PIT BULL	AUG	2017	7202	2	CONFISCATED	8/5/2017	EUTHANIZED	8/5/2017	SCAN CHIP	FIELD
51	CAT	DOMESTIC MH	OCT	2016	8100	9	OWNER SURRENDER	10/18/2016	ADOPTION	11/11/2016	SCAN NO CHIP	OVER THE COUNTER
