year,brand,funny,patriotic,celebrity,danger,animals,views,likes,dislikes
2018,Toyota,FALSE,FALSE,FALSE,FALSE,FALSE,173929,1233,38
2020,Bud Light,TRUE,FALSE,TRUE,TRUE,FALSE,47752,485,14
2006,Bud Light,TRUE,FALSE,FALSE,TRUE,TRUE,142310,129,15
2018,Hynudai,FALSE,FALSE,FALSE,FALSE,FALSE,198,2,0
2003,Bud Light,TRUE,FALSE,FALSE,TRUE,TRUE,13741,20,3
2020,Toyota,TRUE,FALSE,TRUE,TRUE,TRUE,23636,115,11
2020,Coca-Cola,TRUE,FALSE,TRUE,FALSE,TRUE,304254,1470,384
2020,Kia,FALSE,FALSE,TRUE,FALSE,FALSE,17892,78,6
2020,Hynudai,TRUE,FALSE,TRUE,FALSE,TRUE,38385,342,7
2020,Budweiser,FALSE,TRUE,TRUE,TRUE,FALSE,782,7,0
2010,Hynudai,FALSE,TRUE,FALSE,FALSE,FALSE,68458,46,14
2010,Bud Light,TRUE,FALSE,FALSE,TRUE,FALSE,3805,9,0
2007,Budweiser,TRUE,FALSE,FALSE,FALSE,TRUE,184689,133,24
2002,Budweiser,FALSE,TRUE,FALSE,FALSE,TRUE,121400,642,10
2020,NFL,FALSE,TRUE,TRUE,FALSE,FALSE,26727063,175429,7445
2017,NFL,FALSE,FALSE,FALSE,FALSE,FALSE,865781,2315,130
2005,Bud Light,TRUE,FALSE,FALSE,TRUE,TRUE,8990,29,0
2009,Pepsi,TRUE,FALSE,FALSE,TRUE,FALSE,129399,345,12
2004,Bud Light,TRUE,FALSE,FALSE,FALSE,TRUE,3739,115,1
2020,Doritos,TRUE,FALSE,TRUE,TRUE,TRUE,1990447,10717,576
2007,Bud Light,TRUE,FALSE,FALSE,TRUE,FALSE,72997,86,30
2020,Pepsi,FALSE,FALSE,TRUE,FALSE,FALSE,29219,146,38
2019,Hynudai,TRUE,TRUE,TRUE,FALSE,FALSE,38968,216,15
2009,Budweiser,FALSE,TRUE,FALSE,FALSE,TRUE,302143,527,15
2011,Kia,TRUE,FALSE,FALSE,TRUE,FALSE,36832,200,7
2019,Doritos,FALSE,FALSE,TRUE,FALSE,FALSE,41828,683,14
2019,Pepsi,TRUE,FALSE,TRUE,FALSE,FALSE,69050,773,37
2013,Hynudai,TRUE,FALSE,FALSE,TRUE,TRUE,4302,22,0
2019,NFL,TRUE,FALSE,TRUE,FALSE,FALSE,77720,680,15
2011,Coca-Cola,FALSE,FALSE,FALSE,FALSE,FALSE,113771,235,8
2019,Pepsi,TRUE,FALSE,TRUE,FALSE,FALSE,128792,961,15
2016,Hynudai,TRUE,FALSE,FALSE,TRUE,TRUE,5049,40,3
2010,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,85454,120,3
2000,E-Trade,TRUE,FALSE,FALSE,FALSE,TRUE,9036,51,2
2001,Bud Light,TRUE,FALSE,FALSE,FALSE,TRUE,2801,9,0
2018,Doritos,TRUE,FALSE,TRUE,FALSE,FALSE,23327,333,6
2001,Budweiser,TRUE,FALSE,FALSE,FALSE,FALSE,50088,151,3
2018,Coca-Cola,FALSE,FALSE,TRUE,FALSE,FALSE,301,2,0
2013,Hynudai,FALSE,FALSE,FALSE,FALSE,TRUE,3667,7,2
2004,Pepsi,TRUE,FALSE,FALSE,FALSE,TRUE,179695,295,12
2018,Kia,FALSE,FALSE,TRUE,FALSE,FALSE,16399,219,3
2018,Pepsi,FALSE,TRUE,TRUE,FALSE,FALSE,669906,2849,181
2018,NFL,TRUE,FALSE,TRUE,FALSE,FALSE,3464175,20508,556
2010,E-Trade,TRUE,FALSE,FALSE,FALSE,FALSE,14927,19,1
2017,NFL,FALSE,TRUE,TRUE,FALSE,FALSE,310443,2215,323
2000,E-Trade,TRUE,FALSE,FALSE,TRUE,FALSE,67182,121,4
2007,E-Trade,TRUE,TRUE,FALSE,FALSE,FALSE,97247,97,22
2000,Budweiser,TRUE,FALSE,FALSE,FALSE,FALSE,5264,10,1
2013,Doritos,TRUE,FALSE,FALSE,FALSE,TRUE,576696,2541,94
2013,Budweiser,FALSE,FALSE,FALSE,FALSE,FALSE,1171,5,2
2007,Doritos,TRUE,FALSE,FALSE,TRUE,FALSE,1683994,2508,861
2009,Budweiser,TRUE,TRUE,FALSE,FALSE,TRUE,49339,67,2
2012,E-Trade,TRUE,FALSE,FALSE,FALSE,FALSE,21,0,0
2019,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,36683,65,117
2017,Kia,TRUE,FALSE,TRUE,TRUE,TRUE,87687,589,22
2007,Bud Light,TRUE,FALSE,FALSE,TRUE,FALSE,177497,392,9
2011,Bud Light,TRUE,FALSE,FALSE,FALSE,TRUE,350,1,1
2016,Pepsi,FALSE,FALSE,TRUE,FALSE,FALSE,40818,320,19
2009,Hynudai,TRUE,FALSE,FALSE,FALSE,FALSE,373684,585,178
2011,Coca-Cola,TRUE,FALSE,FALSE,TRUE,TRUE,87396,53,2
2016,Hynudai,TRUE,FALSE,TRUE,FALSE,TRUE,11074,91,5
2009,Doritos,TRUE,FALSE,FALSE,FALSE,FALSE,41379,103,9
2010,Doritos,TRUE,FALSE,FALSE,TRUE,FALSE,219464,1136,28
2015,Doritos,TRUE,FALSE,FALSE,FALSE,FALSE,2319854,2746,203
