city,highway,emissions,displacement,year,make,model,powertrain,category,subcategory
19.3663,26,404,3.5,2020,Acura,MDX AWD,Gasoline,SUV/Van,Small Sport Utility Vehicle 4WD
19.22,24.6935,415,3.5,2020,Acura,MDX AWD A-SPEC,Gasoline,SUV/Van,Small Sport Utility Vehicle 4WD
20,27,387,3.5,2020,Acura,MDX FWD,Gasoline,SUV/Van,Small Sport Utility Vehicle 2WD
26,27.1955,333,3,2020,Acura,MDX Hybrid AWD,Hybrid,SUV/Van,Small Sport Utility Vehicle 4WD
21.3942,27.4851,385,2,2020,Acura,RDX AWD,Gasoline,SUV/Van,Small Sport Utility Vehicle 4WD
20.9627,25.9065,385,2,2020,Acura,RDX AWD A-SPEC,Gasoline,SUV/Van,Small Sport Utility Vehicle 4WD
22.2521,28.2546,370,2,2020,Acura,RDX FWD,Gasoline,SUV/Van,Small Sport Utility Vehicle 2WD
21.5376,26.8377,374,2,2020,Acura,RDX FWD A-SPEC,Gasoline,SUV/Van,Small Sport Utility Vehicle 2WD
19.8767,29.1471,383,3.5,2020,Acura,RLX,Gasoline,Car,Midsize Cars
28,29.2106,316,3.5,2020,Acura,RLX Hybrid,Hybrid,Car,Midsize Cars
19.7418,28.9902,384,3.5,2020,Acura,TLX AWD,Gasoline,Car,Compact Cars
19.585,28.7014,387,3.5,2020,Acura,TLX AWD A-SPEC,Gasoline,Car,Compact Cars
23.421,33.1566,330,2.4,2020,Acura,TLX FWD,Gasoline,Car,Compact Cars
19.8788,31.2431,374,3.5,2020,Acura,TLX FWD,Gasoline,Car,Compact Cars
23.068,31.8845,336,2.4,2020,Acura,TLX FWD A-SPEC,Gasoline,Car,Compact Cars
19.6583,30.1602,382,3.5,2020,Acura,TLX FWD A-SPEC,Gasoline,Car,Compact Cars
24.2492,34.3275,317,1.8,2020,Alfa Romeo,4C,Gasoline,TwoSeater,Two Seaters
23.5969,32.63,330,2,2020,Alfa Romeo,Giulia,Gasoline,Car,Midsize Cars
17.45,25.4128,436,2.9,2020,Alfa Romeo,Giulia,Gasoline,Car,Midsize Cars
22.5005,30.6012,348,2,2020,Alfa Romeo,Giulia AWD,Gasoline,Car,Midsize Cars
22,29.1922,359,2,2020,Alfa Romeo,Stelvio,Gasoline,SUV/Van,Small Sport Utility Vehicle 2WD
16.9285,22.7798,463,2.9,2020,Alfa Romeo,Stelvio AWD,Gasoline,SUV/Van,Small Sport Utility Vehicle 4WD
21.8596,28.4782,364,2,2020,Alfa Romeo,Stelvio AWD,Gasoline,SUV/Van,Small Sport Utility Vehicle 4WD
15.2211,22.1756,497,5.2,2020,Aston Martin,DB11 V12,Gasoline,Small Car,Minicompact Cars
18.1323,24.1217,431,4,2020,Aston Martin,DB11 V8,Gasoline,Small Car,Minicompact Cars
14.3728,22.0071,522,5.2,2020,Aston Martin,DBS,Gasoline,Small Car,Minicompact Cars
17.9972,24.4274,435,4,2020,Aston Martin,Vantage V8,Gasoline,TwoSeater,Two Seaters
26.6201,36.0744,293,2,2020,Audi,A3,Gasoline,Small Car,Subcompact Cars
21.8953,29.5104,359,2,2020,Audi,A3 Cabriolet quattro,Gasoline,Small Car,Subcompact Cars
21.8953,29.5104,359,2,2020,Audi,A3 quattro,Gasoline,Small Car,Subcompact Cars
24.0885,31.7289,329,2,2020,Audi,A6 quattro,Hybrid,Car,Midsize Cars
19.15,27.3058,399,2,2020,Audi,Q3 quattro,Gasoline,SUV/Van,Small Sport Utility Vehicle 4WD
21.9096,27.9866,364,2,2020,Audi,Q5,Gasoline,SUV/Van,Small Sport Utility Vehicle 4WD
13.469,20.4562,556,5.2,2020,Audi,R8 AWD,Gasoline,TwoSeater,Two Seaters
13.469,20.4562,556,5.2,2020,Audi,R8 Spyder AWD,Gasoline,TwoSeater,Two Seaters
21.8934,29.2622,358,2,2020,Audi,S3,Gasoline,Small Car,Subcompact Cars
22.9796,30.9611,340,2,2020,Audi,TT Coupe quattro,Gasoline,Small Car,Subcompact Cars
22.9796,30.9611,340,2,2020,Audi,TT Roadster quattro,Gasoline,TwoSeater,Two Seaters
22.706,28.6469,354,2,2020,Audi,TTS Coupe,Gasoline,Small Car,Subcompact Cars
14.3579,23.23,508,4,2020,Bentley,Bentayga,Gasoline,SUV/Van,Standard Sport Utility Vehicle 4WD
15.5755,25.8394,469,4,2020,Bentley,Continental GT,Gasoline,Small Car,Subcompact Cars
15.5755,25.8394,469,4,2020,Bentley,Continental GT Convertible,Gasoline,Small Car,Minicompact Cars
