title,date,year,genre,rating,total_gross,adjusted_gross
Snow White and the Seven Dwarfs,12/21/1937,1937,Musical,G,184.93,5228.95
Pinocchio,2/9/1940,1940,Adventure,G,84.3,2188.23
Fantasia,11/13/1940,1940,Musical,G,83.32,2187.09
Song of the South,11/12/1946,1946,Adventure,G,65,1078.51
Cinderella,2/15/1950,1950,Drama,G,85,920.61
"20,000 Leagues Under the Sea",12/23/1954,1954,Adventure,PG,28.2,528.28
Lady and the Tramp,6/22/1955,1955,Drama,G,93.6,1236.04
Sleeping Beauty,1/29/1959,1959,Drama,G,9.46,21.51
101 Dalmatians,1/25/1961,1961,Comedy,G,153,1362.87
The Absent Minded Professor,3/16/1961,1961,Comedy,PG,25.38,310.09
Babes in Toyland,12/14/1961,1961,Musical,G,10.22,124.84
The Sword in the Stone,12/25/1963,1963,Adventure,G,22.18,153.87
The Jungle Book,10/18/1967,1967,Musical,G,141.84,789.61
Blackbeard's Ghost,2/8/1968,1968,Comedy,G,21.54,138.61
The Aristocats,4/24/1970,1970,Musical,G,55.68,255.16
The Boatniks,7/1/1970,1970,Comedy,G,18.61,101.2
Bedknobs and Broomsticks,10/7/1971,1971,Musical,G,17.87,91.31
The Apple Dumpling Gang,7/1/1975,1975,Comedy,G,31.92,131.25
Freaky Friday,1/21/1977,1977,Comedy,PG,25.94,98.07
The Rescuers,6/22/1977,1977,Adventure,G,48.78,159.74
The Fox and the Hound,7/10/1981,1981,Comedy,G,43.9,133.12
Tron,7/9/1982,1982,Action,PG,26.92,77.18
Splash,3/9/1984,1984,Comedy,PG,62.6,157.06
Return to Oz,6/21/1985,1985,Adventure,PG,10.62,25.22
The Black Cauldron,7/24/1985,1985,Adventure,PG,21.29,50.55
Down and Out in Beverly Hills,1/31/1986,1986,Comedy,R,62.13,141.18
Ruthless People,6/27/1986,1986,Comedy,R,71.62,162.75
The Great Mouse Detective,7/2/1986,1986,Adventure,G,23.61,53.64
Flight of the Navigator,7/30/1986,1986,Adventure,PG,18.56,42.18
The Color of Money,10/17/1986,1986,Drama,R,52.29,117.96
Outrageous Fortune,1/30/1987,1987,Comedy,R,52.86,113.98
Adventures in Babysitting,7/3/1987,1987,Comedy,PG-13,33.79,72.85
Stakeout,8/5/1987,1987,Comedy,R,65.67,141.59
Can't Buy Me Love,8/14/1987,1987,Romantic Comedy,PG-13,31.62,68.18
3 Men and a Baby,11/25/1987,1987,Comedy,PG,167.78,353.33
Good Morning Vietnam,12/23/1987,1987,Comedy,R,123.92,254.41
Return to Snowy River,4/15/1988,1988,Adventure,PG,13.69,28.07
Big Business,6/10/1988,1988,Comedy,PG,40.15,82.35
Who Framed Roger Rabbit?,6/22/1988,1988,Comedy,PG,154.11,316.25
Cocktail,7/29/1988,1988,Drama,R,78.22,160.44
Ernest Saves Christmas,11/11/1988,1988,Comedy,PG,28.2,57.85
Oliver & Company,11/18/1988,1988,Adventure,G,49.58,102.25
Beaches,12/21/1988,1988,Drama,PG-13,57.04,120.38
Three Fugitives,1/27/1989,1989,Comedy,PG-13,40.59,85.76
New York Stories,3/1/1989,1989,Drama,PG,10.76,22.74
Dead Poets Society,6/2/1989,1989,Drama,PG,95.86,202.53
"Honey, I Shrunk the Kids",6/23/1989,1989,Adventure,PG,130.72,276.19
Turner & Hooch,7/28/1989,1989,Comedy,PG,71.08,150.18
An Innocent Man,10/6/1989,1989,Drama,R,19.4,40.98
Gross Anatomy,10/20/1989,1989,Drama,PG-13,11.35,23.97
The Little Mermaid,11/15/1989,1989,Adventure,G,111.54,223.73
Blaze,12/13/1989,1989,Drama,R,19.05,39.88
Stella,2/2/1990,1990,Drama,PG-13,20.06,40.08
Pretty Woman,3/23/1990,1990,Romantic Comedy,R,178.41,356.39
Ernest Goes to Jail,4/6/1990,1990,Comedy,PG,25.03,50
Spaced Invaders,4/27/1990,1990,Comedy,PG,15,29.96
Fire Birds,5/24/1990,1990,Action,PG-13,14.76,29.49
Dick Tracy,6/15/1990,1990,Action,PG,103.74,207.23
Betsy's Wedding,6/22/1990,1990,Comedy,R,19.74,39.43
Arachnophobia,7/18/1990,1990,Thriller/Suspense,PG-13,53.21,106.29
DuckTales: The Movie - Treasure,8/3/1990,1990,Adventure,G,18.08,36.11
Taking Care of Business,8/17/1990,1990,Comedy,R,20.01,39.96
Mr. Destiny,10/12/1990,1990,Comedy,PG-13,15.38,30.72
The Rescuers Down Under,11/16/1990,1990,Adventure,G,27.93,55.8
3 Men and a Little Lady,11/21/1990,1990,Comedy,PG,71.61,143.11
Green Card,12/25/1990,1990,Romantic Comedy,PG-13,29.8,59.68
White Fang,1/18/1991,1991,Adventure,PG,34.73,69.54
Haakon Haakonsen,3/1/1991,1991,Adventure,PG,15.02,30.08
The Marrying Man,4/5/1991,1991,Romantic Comedy,R,12.45,24.94
Oscar,4/26/1991,1991,Comedy,PG,23.56,47.18
One Good Cop,5/3/1991,1991,Action,R,11.28,22.58
What About Bob?,5/17/1991,1991,Comedy,PG,63.71,127.57
Wild Hearts Can't Be Broken,5/24/1991,1991,Drama,PG,7.3,14.62
The Rocketeer,6/21/1991,1991,Action,PG,46.57,93.26
The Doctor,7/24/1991,1991,Drama,PG-13,37.5,75.08
Paradise,9/18/1991,1991,Drama,PG-13,18.63,37.31
Deceived,9/27/1991,1991,Thriller/Suspense,PG-13,28.74,57.54
Ernest Scared Stupid,10/11/1991,1991,Comedy,PG,14.14,28.32
Billy Bathgate,11/1/1991,1991,Drama,R,15.57,31.17
Beauty and the Beast,11/13/1991,1991,Musical,G,218.95,363.02
Father of the Bride,12/20/1991,1991,Comedy,PG,89.33,179.82
The Hand That Rocks the Cradle,1/10/1992,1992,Thriller/Suspense,R,88.04,178.83
Medicine Man,2/7/1992,1992,Drama,PG-13,44.95,91.3
Blame it on the Bellboy,3/6/1992,1992,Comedy,PG-13,2.89,5.87
Noises Off...,3/20/1992,1992,Comedy,PG-13,2.28,4.63
Straight Talk,4/3/1992,1992,Comedy,PG,21.2,43.07
Newsies,4/8/1992,1992,Musical,PG,2.71,5.5
Encino Man,5/22/1992,1992,Comedy,PG,40.06,81.37
Sister Act,5/29/1992,1992,Comedy,PG,139.61,283.58
Honey I Blew Up the Kid,7/17/1992,1992,Comedy,PG,58.66,119.16
A Stranger Among Us,7/17/1992,1992,Drama,PG-13,12.28,24.95
3 Ninjas,8/7/1992,1992,Action,PG,29.03,58.97
Captain Ron,9/18/1992,1992,Comedy,PG-13,22.52,45.74
Sarafina!,9/18/1992,1992,Drama,PG-13,7.31,14.84
The Mighty Ducks,10/2/1992,1992,Comedy,PG,50.75,103.12
1492: Conquest of Paradise,10/9/1992,1992,Adventure,PG-13,7.1,14.42
Consenting Adults,10/16/1992,1992,Drama,R,21.59,43.86
Aladdin,11/11/1992,1992,Comedy,G,217.35,441.97
The Distinguished Gentleman,12/4/1992,1992,Comedy,R,46.43,94.35
The Muppet Christmas Carol,12/11/1992,1992,Comedy,G,27.28,55.42
Alive,1/15/1993,1993,Adventure,R,36.3,73.91
Aspen Extreme,1/22/1993,1993,Romantic Comedy,PG-13,7.84,15.97
Homeward Bound: The Incredible Journey,2/3/1993,1993,Adventure,G,41.83,85.18
The Cemetery Club,2/3/1993,1993,Comedy,PG-13,5.58,11.37
Swing Kids,3/5/1993,1993,Musical,PG-13,5.63,11.47
A Far Off Place,3/12/1993,1993,Adventure,PG,12.89,26.25
Born Yesterday,3/26/1993,1993,Romantic Comedy,PG,17.76,36.17
The Adventures of Huck Finn,4/2/1993,1993,Adventure,PG,24.1,49.08
Indian Summer,4/23/1993,1993,Comedy,R,14.72,29.97
Super Mario Bros.,5/28/1993,1993,Action,PG,20.84,42.45
Life With Mikey,6/4/1993,1993,Comedy,PG,12.35,25.15
Guilty as Sin,6/4/1993,1993,Thriller/Suspense,R,22.62,46.06
What's Love Got to Do With It,6/9/1993,1993,Drama,R,39.1,79.62
Son in Law,7/2/1993,1993,Comedy,PG-13,25.99,52.92
Hocus Pocus,7/16/1993,1993,Comedy,PG,39.36,80.15
Another Stakeout,7/23/1993,1993,Comedy,PG-13,20.11,40.94
