name,height,mass,hair_color,skin_color,eye_color,birth_year,sex,gender,homeworld,species,human
Luke Skywalker,172,77,blond,fair,blue,19,male,masculine,Tatooine,Human,Human
C-3PO,167,75,NA,gold,yellow,112,none,masculine,Tatooine,Droid,non_Human
R2-D2,96,32,NA,"white, blue",red,33,none,masculine,Naboo,Droid,non_Human
Darth Vader,202,136,none,white,yellow,41.9,male,masculine,Tatooine,Human,Human
Leia Organa,150,49,brown,light,brown,19,female,feminine,Alderaan,Human,Human
Owen Lars,178,120,"brown, grey",light,blue,52,male,masculine,Tatooine,Human,Human
Beru Whitesun lars,165,75,brown,light,blue,47,female,feminine,Tatooine,Human,Human
R5-D4,97,32,NA,"white, red",red,NA,none,masculine,Tatooine,Droid,non_Human
Biggs Darklighter,183,84,black,light,brown,24,male,masculine,Tatooine,Human,Human
Obi-Wan Kenobi,182,77,"auburn, white",fair,blue-gray,57,male,masculine,Stewjon,Human,Human
Anakin Skywalker,188,84,blond,fair,blue,41.9,male,masculine,Tatooine,Human,Human
Chewbacca,228,112,brown,unknown,blue,200,male,masculine,Kashyyyk,Wookiee,non_Human
Han Solo,180,80,brown,fair,brown,29,male,masculine,Corellia,Human,Human
Greedo,173,74,NA,green,black,44,male,masculine,Rodia,Rodian,non_Human
Jabba Desilijic Tiure,175,1358,NA,"green-tan, brown",orange,600,hermaphroditic,masculine,Nal Hutta,Hutt,non_Human
Wedge Antilles,170,77,brown,fair,hazel,21,male,masculine,Corellia,Human,Human
Jek Tono Porkins,180,110,brown,fair,blue,NA,male,masculine,Bestine IV,Human,Human
Yoda,66,17,white,green,brown,896,male,masculine,NA,Yoda's species,non_Human
Palpatine,170,75,grey,pale,yellow,82,male,masculine,Naboo,Human,Human
Boba Fett,183,78.2,black,fair,brown,31.5,male,masculine,Kamino,Human,Human
IG-88,200,140,none,metal,red,15,none,masculine,NA,Droid,non_Human
Bossk,190,113,none,green,red,53,male,masculine,Trandosha,Trandoshan,non_Human
Lando Calrissian,177,79,black,dark,brown,31,male,masculine,Socorro,Human,Human
Lobot,175,79,none,light,blue,37,male,masculine,Bespin,Human,Human
Ackbar,180,83,none,brown mottle,orange,41,male,masculine,Mon Cala,Mon Calamari,non_Human
Wicket Systri Warrick,88,20,brown,brown,brown,8,male,masculine,Endor,Ewok,non_Human
Nien Nunb,160,68,none,grey,black,NA,male,masculine,Sullust,Sullustan,non_Human
Qui-Gon Jinn,193,89,brown,fair,blue,92,male,masculine,NA,Human,Human
Nute Gunray,191,90,none,mottled green,red,NA,male,masculine,Cato Neimoidia,Neimodian,non_Human
Jar Jar Binks,196,66,none,orange,orange,52,male,masculine,Naboo,Gungan,non_Human
Roos Tarpals,224,82,none,grey,orange,NA,male,masculine,Naboo,Gungan,non_Human
Sebulba,112,40,none,"grey, red",orange,NA,male,masculine,Malastare,Dug,non_Human
Darth Maul,175,80,none,red,yellow,54,male,masculine,Dathomir,Zabrak,non_Human
Ayla Secura,178,55,none,blue,hazel,48,female,feminine,Ryloth,Twi'lek,non_Human
Dud Bolt,94,45,none,"blue, grey",yellow,NA,male,masculine,Vulpter,Vulptereen,non_Human
Ben Quadinaros,163,65,none,"grey, green, yellow",orange,NA,male,masculine,Tund,Toong,non_Human
Mace Windu,188,84,none,dark,brown,72,male,masculine,Haruun Kal,Human,Human
Ki-Adi-Mundi,198,82,white,pale,yellow,92,male,masculine,Cerea,Cerean,non_Human
Kit Fisto,196,87,none,green,black,NA,male,masculine,Glee Anselm,Nautolan,non_Human
Adi Gallia,184,50,none,dark,blue,NA,female,feminine,Coruscant,Tholothian,non_Human
Plo Koon,188,80,none,orange,black,22,male,masculine,Dorin,Kel Dor,non_Human
Gregar Typho,185,85,black,dark,brown,NA,male,masculine,Naboo,Human,Human
Poggle the Lesser,183,80,none,green,yellow,NA,male,masculine,Geonosis,Geonosian,non_Human
Luminara Unduli,170,56.2,black,yellow,blue,58,female,feminine,Mirial,Mirialan,non_Human
Barriss Offee,166,50,black,yellow,blue,40,female,feminine,Mirial,Mirialan,non_Human
Dooku,193,80,white,fair,brown,102,male,masculine,Serenno,Human,Human
Jango Fett,183,79,black,tan,brown,66,male,masculine,Concord Dawn,Human,Human
Zam Wesell,168,55,blonde,"fair, green, yellow",yellow,NA,female,feminine,Zolan,Clawdite,non_Human
Dexter Jettster,198,102,none,brown,yellow,NA,male,masculine,Ojom,Besalisk,non_Human
Lama Su,229,88,none,grey,black,NA,male,masculine,Kamino,Kaminoan,non_Human
Ratts Tyerell,79,15,none,"grey, blue",unknown,NA,male,masculine,Aleen Minor,Aleena,non_Human
Wat Tambor,193,48,none,"green, grey",unknown,NA,male,masculine,Skako,Skakoan,non_Human
Shaak Ti,178,57,none,"red, blue, white",black,NA,female,feminine,Shili,Togruta,non_Human
Grievous,216,159,none,"brown, white","green, yellow",NA,male,masculine,Kalee,Kaleesh,non_Human
Tarfful,234,136,brown,brown,blue,NA,male,masculine,Kashyyyk,Wookiee,non_Human
Raymus Antilles,188,79,brown,light,brown,NA,male,masculine,Alderaan,Human,Human
Tion Medon,206,80,none,grey,black,NA,male,masculine,Utapau,Pau'an,non_Human
Padmé Amidala,165,45,brown,light,brown,46,female,feminine,Naboo,Human,Human
