height,weight,scars,color,lost_teeth,lifespan,birth_year,spikes
55.479842,14.20788434,6,black,4,956,-1999,spikes
54.12511092,15.9246182,2,green,39,1460,-1994,without
51.66676971,13.36120365,10,red,24,1504,-1992,spikes
42.5053421,11.22236416,37,red,26,2571,-1992,spikes
48.41299909,13.50264839,15,green,9,1339,-1990,without
52.12706991,13.23433107,2,black,15,988,-1988,spikes
50.20587571,13.50039919,13,red,38,1877,-1987,spikes
50.77550508,13.88055512,5,black,5,879,-1986,spikes
58.52957446,16.08432585,21,blue,28,2017,-1984,without
40.87973477,13.71827463,3,red,23,1177,-1983,spikes
55.36528368,15.86366868,0,red,36,1294,-1983,spikes
53.06457397,15.22952727,5,red,23,1246,-1981,without
51.47374848,13.83543333,8,red,16,1220,-1977,spikes
44.68944734,12.35632664,13,blue,2,1142,-1976,without
50.1234309,13.67932931,25,red,33,2252,-1972,spikes
42.59568523,12.27455554,5,red,9,972,-1969,spikes
49.89838052,13.16970012,2,red,1,722,-1967,spikes
40.41795965,10.72087245,4,blue,14,1034,-1965,without
46.08754443,11.86454302,12,red,27,1614,-1965,spikes
59.28812746,16.82493997,6,red,36,1615,-1964,spikes
49.5323181,12.74516142,1,red,1,641,-1962,spikes
52.99576295,16.06400509,18,red,36,2059,-1959,spikes
39.3423772,12.29981716,5,red,1,836,-1957,without
42.91076437,11.0145433,40,red,14,2496,-1955,spikes
46.02784055,11.51888394,10,blue,26,1532,-1954,spikes
40.69775726,10.40461805,8,black,27,1458,-1953,spikes
50.38563467,13.71954447,14,red,22,1577,-1951,spikes
51.99300122,14.18237408,19,blue,7,1487,-1950,spikes
48.18378525,13.7196143,10,blue,25,1487,-1948,without
49.37172788,12.614312,9,blue,23,1437,-1947,spikes
51.76496848,12.94412763,8,red,11,1126,-1945,spikes
58.16982806,14.56574817,2,blue,24,1136,-1944,spikes
45.64529725,11.50035146,21,black,9,1640,-1934,without
52.98478982,14.67543225,3,red,17,1051,-1933,spikes
59.10947514,16.92175896,2,red,37,1422,-1932,spikes
55.60795885,14.59662446,0,red,16,945,-1931,without
53.72462886,13.74808309,4,red,12,1014,-1930,without
48.14164056,14.94092633,26,red,7,1779,-1930,without
60.66092873,16.30659598,3,blue,22,1169,-1929,without
60.87143971,16.00201767,8,green,10,1103,-1928,without
48.39880319,12.12494859,1,blue,10,813,-1927,spikes
49.52455028,12.66099722,2,blue,2,711,-1925,without
59.73349752,14.97367649,1,blue,11,865,-1925,spikes
64.87637895,16.38413715,1,green,16,985,-1922,without
53.80029547,15.66806877,32,blue,16,2215,-1917,without
67.41273555,17.33017398,19,blue,10,1569,-1914,spikes
53.62995003,16.33408635,6,blue,30,1440,-1909,without
61.72851891,16.10293425,3,green,20,1157,-1907,without
50.47798381,13.09490043,8,green,38,1656,-1907,without
48.27345174,12.62467816,1,red,38,1402,-1900,spikes
46.86368938,11.8370933,25,green,8,1783,-1900,without
45.35948778,12.36826187,12,blue,14,1353,-1897,without
51.06693644,12.79182014,6,blue,29,1414,-1895,without
50.00407703,13.27488574,14,green,2,1226,-1894,without
49.54313308,12.51222844,17,blue,20,1643,-1890,spikes
40.95912651,11.84717992,14,red,26,1719,-1887,spikes
42.06679066,10.98455607,17,red,25,1762,-1887,spikes
38.2641311,10.31066916,4,blue,17,1087,-1881,spikes
53.9067177,14.86261778,51,red,17,2975,-1879,spikes
45.38506065,11.79114657,3,blue,1,750,-1877,without
52.80649553,14.48555602,4,blue,29,1325,-1859,spikes
56.20401589,15.94231604,4,red,4,845,-1858,spikes
45.96746077,11.58724333,6,green,26,1376,-1857,without
49.56555738,12.50217458,7,blue,10,1092,-1854,without
51.04739124,13.41369143,6,blue,19,1259,-1854,spikes
49.47731753,15.09278185,8,blue,40,1735,-1848,without
46.91843637,13.0750983,10,blue,40,1789,-1848,without
47.16004171,11.93815081,0,red,9,799,-1847,spikes
37.43646426,15.37748727,3,red,10,932,-1845,spikes
47.11507362,13.83366894,7,red,17,1240,-1844,without
33.70672964,8.669674517,2,blue,8,872,-1843,spikes
47.10817231,12.6627041,9,red,6,1076,-1835,spikes
57.92277358,16.3009831,19,green,26,1866,-1828,without
55.04186887,15.23476917,20,red,31,2015,-1825,spikes
58.96968982,15.53667925,25,red,33,2288,-1825,without
41.92315097,12.18700991,9,blue,21,1391,-1821,without
55.99553859,14.04822084,21,blue,15,1748,-1818,without
54.51218517,14.73632737,25,red,35,2333,-1818,without
44.19130964,11.45620976,24,blue,3,1635,-1815,without
52.593238,13.64575261,7,blue,5,992,-1812,spikes
64.04272749,22.37218085,6,red,36,1546,-1812,spikes
38.46414047,10.01951062,4,green,35,1463,-1810,without
46.55812194,12.11579708,3,blue,0,710,-1807,spikes
53.82596319,13.62437152,12,green,1,1135,-1806,without
54.92731528,17.01614856,26,red,39,2434,-1805,spikes
55.99960647,14.54050349,2,red,35,1399,-1804,spikes
47.54363538,13.00481982,13,green,30,1690,-1804,without
57.96098081,16.84063294,1,green,39,1412,-1803,without
57.92486233,16.55769319,15,red,21,1617,-1801,without
49.66401859,14.25371376,5,blue,22,1256,-1798,without
51.14757799,12.84769252,10,blue,20,1386,-1796,without
59.22456217,15.08809939,16,blue,30,1863,-1796,spikes
45.36652707,13.95658487,20,green,35,2116,-1796,without
53.35792237,15.43182518,4,green,4,843,-1791,without
53.97079368,14.25623362,4,blue,25,1279,-1791,spikes
51.3807464,13.56167689,2,blue,15,950,-1790,spikes
44.77608491,11.48212797,16,red,14,1479,-1789,spikes
43.99386621,11.51340676,13,red,8,1260,-1787,without
54.30337693,14.4136849,2,red,13,906,-1785,spikes
53.99594365,13.61035714,16,red,34,1947,-1780,spikes
47.12522159,13.33313056,35,red,32,2606,-1780,spikes
58.51882863,17.0292954,9,red,5,1073,-1779,spikes
47.49062592,12.16838754,18,red,10,1516,-1777,spikes
45.87459479,13.13803022,5,green,12,1014,-1775,without
46.32320774,12.0281305,1,red,32,1239,-1771,spikes
51.52434068,13.05195552,0,red,21,1029,-1768,spikes
44.13433853,12.10130721,16,green,21,1618,-1767,without
53.81748231,13.59832981,3,blue,28,1267,-1766,without
37.55803194,9.828600926,17,blue,11,1521,-1765,without
60.56157021,15.69894923,15,red,8,1353,-1764,spikes
58.27498676,15.35430573,1,black,4,703,-1763,without
52.86925193,14.30253972,10,blue,0,986,-1762,without
50.47957202,13.31533287,1,red,25,1135,-1760,spikes
51.06555311,15.3322539,6,green,33,1497,-1759,without
46.20484737,11.96627107,14,red,25,1657,-1759,without
51.7523163,17.37195754,1,red,39,1415,-1755,spikes
46.5321079,12.57655121,21,green,32,2075,-1747,without
46.14618618,14.42415241,8,blue,4,1016,-1746,spikes
57.70282993,15.63866403,18,red,30,1931,-1745,spikes
48.36486333,12.18147043,2,red,31,1259,-1744,spikes
41.81845331,12.3322906,21,red,30,2048,-1744,without
54.39051885,14.25196627,36,green,23,2514,-1744,without
52.51107546,13.26509889,14,green,30,1770,-1743,without
50.93066305,13.63736808,1,red,17,965,-1733,spikes
42.494023,13.53351322,2,red,8,823,-1732,spikes
55.46015364,14.3387103,26,red,6,1739,-1732,without
49.61096263,13.82438532,23,red,33,2168,-1731,spikes
44.77122121,12.28775942,5,blue,13,1046,-1729,spikes
53.19008709,16.96724779,0,red,17,928,-1728,spikes
61.48017138,15.98538931,4,blue,37,1482,-1728,spikes
51.57638904,15.71520868,18,green,22,1780,-1726,without
48.52793764,14.06038226,7,green,12,1113,-1725,without
48.33757977,12.4622473,19,green,14,1652,-1725,without
54.13525069,14.69525577,7,red,12,1125,-1720,spikes
56.37828438,14.97453974,3,green,20,1084,-1719,without
50.43586579,12.7112094,1,red,19,1037,-1717,spikes
41.97702856,10.88985946,32,blue,33,2540,-1717,without
42.7224149,14.16964659,0,red,5,722,-1716,spikes
57.77250353,14.91615741,10,blue,4,1097,-1714,without
49.61327235,13.18766805,22,green,21,1898,-1712,without
57.88318405,14.56079687,17,red,10,1471,-1709,spikes
49.03614043,12.75331043,13,blue,11,1320,-1706,spikes
55.9481138,16.11637842,20,blue,22,1812,-1704,spikes
30.59742619,9.156688905,15,blue,31,1791,-1702,spikes
53.26972566,13.60134854,2,red,15,970,-1694,spikes
76.2798023,19.67100826,10,red,0,996,-1694,without
43.93169489,13.17750542,10,red,25,1505,-1693,spikes
54.70494283,13.69648282,13,red,33,1756,-1693,spikes
67.0156817,16.89907601,56,blue,15,3106,-1691,spikes
60.61514167,15.56508575,27,red,35,2378,-1688,spikes
62.15352923,18.8401646,9,blue,36,1704,-1683,spikes
45.01301407,13.97168399,7,green,32,1522,-1681,without
57.37945832,14.94906424,11,red,32,1659,-1679,without
45.31875151,12.16607067,11,green,39,1809,-1679,without
41.96355572,11.52221054,13,blue,6,1234,-1678,without
57.24231632,14.85828706,6,blue,9,1012,-1675,without
53.30171984,13.61908807,5,red,9,994,-1674,spikes
60.99481488,15.40849869,3,blue,2,750,-1669,without
59.05845243,15.07348224,15,blue,40,2015,-1667,without
55.72458874,14.44483946,5,red,24,1244,-1666,spikes
47.67223534,11.94719048,6,red,8,961,-1665,spikes
46.02232375,11.83637791,4,red,0,755,-1664,spikes
51.49349741,13.70815378,5,red,23,1249,-1662,spikes
51.53744512,13.60318286,5,red,8,946,-1661,spikes
42.22922452,13.1119833,19,red,36,2105,-1660,spikes
53.90978549,13.67355837,4,blue,21,1162,-1658,without
43.48090348,10.91823105,18,red,15,1632,-1655,spikes
43.94890505,11.85838717,11,red,27,1568,-1652,spikes
45.19215247,11.33289116,10,blue,9,1177,-1651,without
46.52782969,12.25318504,2,blue,37,1463,-1651,spikes
52.61571332,13.82920203,44,green,7,2507,-1651,without
50.77034534,12.94682664,5,red,15,1108,-1649,spikes
52.20992299,13.50765297,18,blue,3,1384,-1641,spikes
46.67854439,11.7537317,3,red,3,762,-1640,spikes
40.12558475,10.2697154,7,blue,22,1336,-1640,without
63.9094267,17.43357263,6,blue,13,1070,-1634,without
47.01583967,12.55431406,16,green,7,1378,-1632,without
53.37474983,13.6391648,50,blue,29,3187,-1631,spikes
51.10484213,13.09859263,4,red,38,1472,-1625,spikes
47.28900617,17.04269526,5,red,14,1105,-1623,without
48.42980439,12.48433353,15,red,14,1467,-1621,without
44.3192629,12.80354451,1,red,38,1400,-1620,spikes
41.5627446,11.26527103,9,red,8,1107,-1617,without
40.13185373,10.72171444,13,blue,27,1647,-1617,spikes
49.52756145,12.46525616,25,red,20,1962,-1616,spikes
43.98980005,11.51745549,0,red,22,1032,-1614,spikes
63.17077846,17.20887405,7,red,34,1579,-1614,spikes
34.55333002,10.0185138,17,red,20,1689,-1611,spikes
45.59267552,14.29498091,34,red,28,2542,-1609,spikes
58.38873999,18.30671704,5,green,22,1196,-1605,without
51.35688458,12.98082102,13,blue,31,1741,-1604,spikes
60.28458518,15.34522509,1,blue,11,831,-1603,spikes
45.13295884,13.91935709,3,blue,3,764,-1602,spikes
59.50998879,16.22739406,4,green,0,768,-1602,without
44.7062252,11.27201163,2,blue,25,1160,-1599,spikes
43.84264495,12.22030042,17,green,23,1777,-1599,without
49.27852957,12.58915385,3,red,23,1179,-1595,spikes
45.80353846,11.8346576,37,red,15,2382,-1595,spikes
59.92501219,16.12138555,11,red,30,1631,-1591,spikes
56.01161581,16.11567626,4,blue,15,1089,-1589,without
54.53703911,14.44048513,5,green,29,1387,-1584,without
43.75520907,11.42210763,5,red,11,1046,-1576,spikes
53.48943017,13.37457601,2,red,29,1228,-1574,spikes
49.86479333,12.49144951,7,green,11,1107,-1573,without
44.12223524,13.16479808,0,red,16,943,-1572,spikes
41.08717072,11.36684736,63,red,36,3841,-1571,without
57.41699798,14.37518684,15,blue,21,1616,-1570,without
50.10213502,12.67216662,10,green,17,1343,-1567,without
50.64996899,15.1962111,26,blue,35,2360,-1567,spikes
47.71705354,12.93205919,19,red,15,1647,-1560,spikes
57.68482474,16.42759118,2,red,11,873,-1559,spikes
50.73455302,14.51622187,3,black,28,1255,-1557,without
35.97275026,9.394338745,10,red,3,1051,-1556,spikes
48.49118389,13.7821737,2,blue,17,1020,-1555,without
36.04253621,9.027765288,0,red,39,1373,-1555,without
43.57061081,11.15547018,1,blue,18,1005,-1554,spikes
57.46292897,14.77498999,9,red,38,1717,-1554,spikes
47.59641029,12.39857513,3,red,20,1104,-1552,spikes
49.43021081,12.96938715,5,red,34,1510,-1551,spikes
46.21840914,11.66253899,6,red,4,950,-1547,spikes
41.06811862,10.29189214,1,red,31,1259,-1547,spikes
63.5247692,16.74502566,4,blue,35,1495,-1547,without
46.50260828,11.80629692,3,green,7,872,-1546,without
61.88353321,18.05913563,11,green,3,1096,-1546,without
58.98471295,16.53000945,7,red,35,1563,-1546,spikes
47.29280363,14.07893679,1,green,4,692,-1544,without
41.1181955,10.42289349,13,red,32,1764,-1542,spikes
49.7326013,14.95645298,0,red,23,1036,-1538,spikes
49.65139772,13.17162819,8,green,17,1285,-1537,without
41.46820497,10.83529402,7,black,3,937,-1535,without
40.84110784,10.46785487,0,green,26,1128,-1534,without
48.876478,12.70124599,2,blue,21,1088,-1531,without
47.9238477,13.50630609,5,red,27,1342,-1531,spikes
51.54773184,13.84010752,6,red,1,841,-1529,spikes
39.78994682,10.16581484,2,blue,40,1507,-1529,without
42.71989337,15.30515906,24,blue,12,1840,-1529,spikes
42.58185657,10.94563485,22,red,35,2180,-1527,spikes
49.38696399,13.464275,0,green,9,743,-1524,without
51.9211061,13.88881171,16,green,8,1411,-1518,without
40.7539589,11.05957882,1,red,16,953,-1515,spikes
54.04607078,18.34621311,26,green,24,2091,-1514,without
53.87728445,13.72456148,5,red,25,1291,-1512,spikes
57.09680792,14.58200782,8,green,14,1220,-1510,without
67.18917349,17.02775982,4,red,28,1317,-1509,without
46.90057992,13.34094064,37,red,7,2216,-1508,spikes
42.5488902,13.22422285,6,blue,4,876,-1506,without
51.2781266,13.83654972,12,green,4,1158,-1506,without
48.63238182,12.36422885,3,red,30,1312,-1505,spikes
48.43290489,13.07557594,3,red,25,1211,-1504,spikes
47.34101982,13.55291137,12,red,11,1277,-1504,spikes
40.70028855,11.10800568,2,blue,38,1434,-1496,spikes
48.68077453,12.48052829,2,red,19,1020,-1495,spikes
53.25343966,13.99277818,6,blue,26,1334,-1493,spikes
62.90811255,15.9207574,2,red,35,1393,-1493,spikes
64.62210859,19.10209776,4,blue,21,1174,-1492,spikes
56.00286213,15.24446173,5,red,23,1288,-1492,spikes
47.60521576,12.18318429,1,blue,10,845,-1491,spikes
54.94389496,14.03467982,2,red,22,1141,-1488,spikes
54.00388152,14.5592261,5,green,20,1206,-1487,without
47.08277032,11.91593108,3,blue,31,1339,-1484,without
62.29859988,17.10730783,4,blue,21,1178,-1480,spikes
43.65521221,11.64068448,9,red,9,1110,-1479,without
67.78501772,19.33187441,5,red,15,1115,-1479,spikes
47.95747938,13.31863083,4,red,22,1197,-1474,without
43.99691592,11.73446921,2,red,25,1142,-1472,spikes
45.61063399,11.60969834,3,green,40,1493,-1472,without
44.79370018,13.60845724,4,red,2,754,-1467,spikes
45.10285343,11.67247542,6,red,19,1227,-1467,spikes
49.9511029,14.03614942,4,red,25,1250,-1467,spikes
44.03620022,11.86207862,13,blue,12,1354,-1460,spikes
50.89530837,14.44744937,25,blue,20,2001,-1457,spikes
45.77279131,11.54452492,11,red,33,1698,-1456,spikes
49.73054347,13.14322441,2,red,27,1222,-1455,spikes
45.0432601,12.15532927,2,green,9,842,-1453,without
35.80504335,9.109126194,7,blue,8,1072,-1451,spikes
54.59379208,13.84114798,15,red,5,1301,-1450,spikes
39.650431,10.66622767,8,red,23,1371,-1446,without
65.09381855,18.98603568,12,red,21,1532,-1446,spikes
57.53872602,14.56958774,10,red,12,1226,-1444,spikes
54.49174464,14.20246675,24,red,14,1848,-1444,spikes
51.48195146,13.39215334,0,red,39,1406,-1442,spikes
61.22959325,15.6928963,4,red,3,827,-1440,spikes
53.68657133,15.47130066,14,blue,3,1222,-1437,spikes
55.02587695,15.08445322,0,red,23,1036,-1434,without
32.88106688,8.535810821,20,blue,6,1545,-1433,spikes
59.43731654,15.49517379,2,red,11,927,-1432,spikes
55.98084648,14.62388606,2,red,35,1394,-1430,without
45.69227076,13.56451459,20,red,7,1519,-1430,spikes
45.60573726,12.01396198,1,red,5,728,-1429,spikes
56.95362898,15.97783093,0,green,30,1213,-1429,without
36.72879873,10.9948476,1,red,26,1163,-1426,spikes
56.70700735,14.29658769,13,red,11,1317,-1421,without
56.82939936,14.48364378,24,red,33,2220,-1421,spikes
40.65028673,11.1492119,32,red,12,2124,-1417,spikes
59.3414709,15.29095393,5,red,8,957,-1416,spikes
45.91571458,13.09493981,3,red,35,1416,-1415,without
55.09818164,13.92195358,8,blue,33,1576,-1412,spikes
47.81669456,13.2779331,14,green,11,1376,-1410,without
43.01661844,11.2473255,1,red,17,1000,-1407,without
47.31568139,12.47634716,3,blue,34,1392,-1406,spikes
48.95238368,12.66284645,4,blue,20,1178,-1401,spikes
45.13717765,12.84599554,4,red,21,1231,-1399,spikes
47.64882756,12.39490128,27,blue,35,2388,-1399,spikes
53.69264894,14.88598647,7,red,7,997,-1395,without
49.99826782,13.38583999,1,red,25,1127,-1393,spikes
62.72029112,15.7863331,20,red,23,1875,-1391,spikes
48.94115168,12.52970595,10,blue,4,1078,-1389,spikes
38.94977099,11.54201792,8,red,39,1680,-1389,spikes
50.23982104,12.76676616,1,green,22,1058,-1387,without
41.60822264,11.38251385,16,blue,13,1511,-1387,spikes
49.38976162,13.1555207,4,green,20,1107,-1383,without
47.14911633,13.90999188,24,red,12,1797,-1383,spikes
43.92917561,12.88373749,30,red,7,1927,-1382,spikes
42.02992354,10.98133496,4,red,0,757,-1379,spikes
52.58465498,13.40430858,18,red,35,2028,-1378,spikes
58.54293979,14.96718575,22,red,33,2156,-1377,without
49.30218055,12.49927904,22,blue,26,2020,-1376,spikes
56.1536728,14.12160356,32,blue,25,2346,-1372,spikes
42.89119132,10.83376542,10,green,32,1659,-1371,without
64.47399428,16.72103148,5,red,34,1488,-1369,spikes
44.98569007,11.40855671,14,blue,7,1326,-1368,spikes
57.61459412,14.45720651,19,blue,13,1622,-1368,spikes
55.99775692,17.57991313,3,blue,1,753,-1366,spikes
48.46726234,12.86474109,1,red,36,1330,-1364,spikes
43.06689133,10.98940136,1,red,10,810,-1359,without
47.26781087,11.90743898,24,red,10,1759,-1357,spikes
53.04756723,13.43697851,8,red,37,1672,-1356,without
46.71330988,12.1454187,2,red,13,928,-1355,without
53.09729214,16.14113382,5,blue,3,868,-1353,spikes
52.87004357,13.55906667,2,blue,21,1086,-1353,spikes
56.68126994,14.56479487,3,red,10,931,-1350,spikes
49.63718963,12.78271638,7,red,17,1189,-1349,spikes
