respondentID,travel_frequency,recline,height,children,arm_rests,middle_arm_rest,window_shade,unsold_seat,talkative,get_up,recline_obligation,rude_recline,remove_recline,switch_friend,switch_family,wakeup_bathroom,wakeup_walk,baby,unruly_children,electronics,smoke,gender,age,income,education,college,region
1,Monthly,About half the time,74,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,More than five times times,"No, the person on the flight has no obligation to the person behind them",No,Yes,No,No,No,No,No,No,No,No,not_Female,27,$100-150k,Graduate degree,college,South Atlantic
2,Monthly,Usually,67,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,No,No,No,Somewhat,No,No,not_Female,24,<$25k,Some college or Associate degree,college,West North Central
3,Monthly,Once in a while,76,No,The person in the middle seat gets both arm rests,The person in aisle,The person in the window seat should have exclusive control,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,Yes,No,No,No,Somewhat,No,No,No,No,not_Female,41,>$150k,Graduate degree,college,Pacific
4,Monthly,Usually,64,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,More than five times times,"No, the person on the flight has no obligation to the person behind them",No,No,Yes,Somewhat,No,No,No,No,No,No,Female,69,$100-150k,Graduate degree,college,South Atlantic
5,Monthly,Always,68,Yes,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,No,Once,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,No,Somewhat,No,Somewhat,No,No,Female,43,$100-150k,Bachelor degree,college,South Atlantic
6,Monthly,Never,71,Yes,The person in the middle seat gets both arm rests,The person by the window,Everyone in the row should have some say,No,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",Yes,Yes,Somewhat,No,No,Somewhat,No,Somewhat,No,No,not_Female,47,$100-150k,Graduate degree,college,West South Central
7,Monthly,Always,63,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,Three times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,Yes,Yes,Yes,No,No,Female,33,>$150k,Graduate degree,college,Middle Atlantic
8,Monthly,Usually,66,No,The arm rests should be shared,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,Somewhat,Three times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,Somewhat,Somewhat,No,Yes,No,No,Female,46,$100-150k,Bachelor degree,college,East South Central
9,Monthly,Always,65,No,The arm rests should be shared,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,Somewhat,Three times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,Somewhat,No,Yes,No,No,Female,50,$50-100k,Bachelor degree,college,Middle Atlantic
10,Monthly,About half the time,66,Yes,Other (please specify),Other (please specify),Everyone in the row should have some say,No,No,More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,No,No,No,No,No,No,Female,53,>$150k,Bachelor degree,college,West South Central
11,Monthly,Always,70,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,No,Somewhat,No,Somewhat,Yes,No,not_Female,49,>$150k,Graduate degree,college,West South Central
12,Monthly,Never,68,No,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,Once,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,Yes,Somewhat,Somewhat,No,Somewhat,Yes,Yes,No,No,not_Female,58,>$150k,Some college or Associate degree,college,Pacific
13,Monthly,About half the time,73,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,No,No,Somewhat,Yes,No,not_Female,71,>$150k,Bachelor degree,college,Pacific
14,Monthly,Never,71,No,The person in the middle seat gets both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,Somewhat,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Yes,Yes,No,No,No,No,Yes,Yes,No,No,not_Female,48,$100-150k,Some college or Associate degree,college,South Atlantic
15,Monthly,Once in a while,69,Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Somewhat,Somewhat,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,Yes,No,No,No,Yes,No,Yes,No,No,not_Female,52,>$150k,Bachelor degree,college,East North Central
16,Monthly,Never,72,No,Other (please specify),The arm rests should be shared,The person in the window seat should have exclusive control,Somewhat,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Yes,Yes,No,No,No,No,Yes,Yes,No,No,not_Female,57,$100-150k,Some college or Associate degree,college,South Atlantic
17,Monthly,Always,66,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,Somewhat,Somewhat,Somewhat,Yes,Yes,No,not_Female,58,$100-150k,Some college or Associate degree,college,South Atlantic
18,Monthly,Never,63,No,The arm rests should be shared,Other (please specify),Everyone in the row should have some say,No,No,More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to",Yes,Yes,No,No,No,No,No,No,Yes,No,not_Female,20,$50-100k,Bachelor degree,college,New England
19,Monthly,Usually,74,No,The person in the middle seat gets both arm rests,The person by the window,The person in the window seat should have exclusive control,No,Somewhat,Three times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,Somewhat,No,No,Yes,No,not_Female,46,>$150k,Graduate degree,college,East North Central
20,Monthly,Once in a while,67,No,Whoever puts their arm on the arm rest first,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Four times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,Yes,No,No,No,Somewhat,No,Yes,No,No,Female,85,$50-100k,Graduate degree,college,South Atlantic
21,Monthly,Never,69,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Yes,No,No,No,Somewhat,Yes,Somewhat,Somewhat,Yes,No,Female,23,$50-100k,Some college or Associate degree,college,New England
22,Monthly,Never,70,No,Other (please specify),Other (please specify),The person in the window seat should have exclusive control,Yes,No,It is not okay to get up during flight,"No, the person on the flight has no obligation to the person behind them",Somewhat,Yes,Somewhat,Somewhat,Yes,Yes,Yes,Yes,No,No,not_Female,32,$100-150k,Bachelor degree,college,South Atlantic
23,Monthly,Once in a while,68,Yes,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,Somewhat,Somewhat,It is not okay to get up during flight,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,No,No,Somewhat,Yes,Yes,Yes,No,No,not_Female,24,>$150k,Bachelor degree,college,Middle Atlantic
24,Monthly,Once in a while,69,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Yes,No,More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to",Yes,No,No,No,No,No,No,Yes,No,No,not_Female,58,>$150k,Graduate degree,college,Pacific
25,Monthly,Always,72,No,Other (please specify),Other (please specify),The person in the window seat should have exclusive control,No,No,More than five times times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,Somewhat,Yes,Yes,Yes,No,not_Female,23,$25-50k,Some college or Associate degree,college,East North Central
26,Monthly,Never,70,Yes,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,"No, the person on the flight has no obligation to the person behind them",Yes,Yes,No,No,No,No,No,Somewhat,Yes,No,not_Female,52,>$150k,Graduate degree,college,Mountain
27,Monthly,Once in a while,64,Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,No,Somewhat,No,Somewhat,No,No,Female,33,$50-100k,Graduate degree,college,Pacific
28,Monthly,Always,64,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,Four times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,Somewhat,Yes,Yes,Yes,No,Female,54,>$150k,Some college or Associate degree,college,Pacific
