county,district,grade_span,teachers,expenditures,ratio,income,english,test_scores
Alameda,Sunol Glen Unified,KK-08,10.89999962,NA,17.88990974,22.69000053,0,690.8
Butte,Manzanita Elementary,KK-08,11.14999962,5099.380859,21.52466393,9.824000359,4.583333492,661.2
Butte,Thermalito Union Elementary,KK-08,82.90000153,5501.95459,18.69722557,8.977999687,30.00000191,643.6
Butte,Golden Feather Union Elementary,KK-08,14,7101.831055,17.3571434,8.977999687,0,647.7
Butte,Palermo Union Elementary,KK-08,71.5,5235.987793,18.6713295,9.080332756,13.85767746,640.85
Fresno,Burrel Union Elementary,KK-08,6.400000095,5580.146973,21.40625,10.41499996,12.40875912,605.55
San Joaquin,Holt Union Elementary,KK-08,10,5253.331055,19.5,6.577000141,68.71794891,606.75
Kern,Vineland Elementary,KK-08,42.5,4565.746094,20.89411736,8.173999786,46.95946121,609
Fresno,Orange Center Elementary,KK-08,19,5355.54834,19.94736862,7.385000229,30.07915688,612.5
Sacramento,Del Paso Heights Elementary,KK-06,108,5036.211426,20.80555534,11.61333275,40.27592087,612.65
Merced,Le Grand Union Elementary,KK-08,21,4547.692383,21.23809433,8.930999756,52.91479874,615.75
Fresno,West Fresno Elementary,KK-08,47,5447.345215,21,7.385000229,54.60993195,616.3
Tulare,Allensworth Elementary,KK-08,5,6567.149414,20.60000038,5.335000038,42.71844482,616.3
Tulare,Sunnyside Union Elementary,KK-08,24.34000015,4818.612793,20.00821686,8.279000282,20.53388023,616.3
Tulare,Woodville Elementary,KK-08,36,5621.456055,18.02777863,9.630000114,80.1232605,616.45
Tulare,Pixley Union Elementary,KK-08,42.06999969,6026.359863,20.25196075,7.453999996,49.41314316,617.35
Kern,Lost Hills Union Elementary,KK-08,28.92000008,6723.237793,16.97786903,6.21600008,85.53971863,618.05
Kern,Buttonwillow Union Elementary,KK-08,25.5,5589.885254,16.50980377,7.763999939,58.90736389,618.3
Los Angeles,Lennox Elementary,KK-08,303.0299988,5064.615723,22.70402336,7.021999836,77.0058136,619.8
Kern,Lamont Elementary,KK-08,135,5433.593262,19.91111183,5.698999882,49.81398773,620.3
Imperial,Westmorland Union Elementary,KK-08,24,5725.563477,18.33333397,7.940999985,40.68181992,620.5
Tulare,Pleasant View Elementary,KK-08,21,4542.10498,22.61904716,9.630000114,16.21052551,621.4
Kern,Wasco Union Elementary,KK-08,130.5,5107.086426,19.44827652,7.40500021,45.07486343,621.75
Tulare,Alta Vista Elementary,KK-08,19,4659.661621,25.05263138,9.630000114,39.07563019,622.05
Merced,Livingston Union Elementary,KK-08,114,4555.464355,20.67543793,8.019000053,76.66525269,622.6
Tulare,Woodlake Union Elementary,KK-08,85,5415.152832,18.68235207,8.522999763,40.49118423,623.1
