year,host,winner,second,third,fourth,goals,teams,games,attendance
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,434
1934,Italy,Italy,Czechoslovakia,Germany,Austria,70,16,17,395
1938,France,Italy,Hungary,Brazil,Sweden,84,15,18,483
1950,Brazil,Uruguay,Brazil,Sweden,Spain,88,13,22,1337
1954,Switzerland,West Germany,Hungary,Austria,Uruguay,140,16,26,943
1958,Sweden,Brazil,Sweden,France,West Germany,126,16,35,868
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89,16,32,776
1966,England,England,West Germany,Portugal,Soviet Union,89,16,32,1614.68
1970,Mexico,Brazil,Italy,West Germany,Uruguay,95,16,32,1673.98
1974,Germany,West Germany,Netherlands,Poland,Brazil,97,16,38,1774.02
1978,Argentina,Argentina,Netherlands,Brazil,Italy,102,16,38,1610.22
1982,Spain,Italy,West Germany,Poland,France,146,24,52,1856.28
1986,Mexico,Argentina,West Germany,France,Belgium,132,24,52,2407.43
1990,Italy,West Germany,Argentina,Italy,England,115,24,52,2527.35
1994,USA,Brazil,Italy,Sweden,Bulgaria,141,24,52,3568.57
1998,France,France,Brazil,Croatia,Netherlands,171,32,64,2859.23
2002,"Japan, South Korea",Brazil,Germany,Turkey,South Korea,161,32,64,2724.6
2006,Germany,Italy,France,Germany,Portugal,147,32,64,3367
2010,South Africa,Spain,Netherlands,Germany,Uruguay,145,32,64,2167.98
2014,Brazil,Germany,Argentina,Netherlands,Brazil,171,32,64,3441.45
2018,Russia,France,Croatia,Belgium,England,169,32,64,3031.77
