key_id,year,tournament_name,stage_number,stage_name,group_name,position,team_id,team,team_code,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,advanced,brazil,argentina,france,mexico,USA
1,1930,1930 FIFA Men's World Cup,1,group stage,Group 1,1,T-03,Argentina,ARG,3,3,0,0,10,4,6,6,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2,1930,1930 FIFA Men's World Cup,1,group stage,Group 1,2,T-13,Chile,CHL,3,2,0,1,5,3,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,1930,1930 FIFA Men's World Cup,1,group stage,Group 1,3,T-30,France,FRA,3,1,0,2,4,3,1,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
4,1930,1930 FIFA Men's World Cup,1,group stage,Group 1,4,T-46,Mexico,MEX,3,0,0,3,4,13,-9,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
5,1930,1930 FIFA Men's World Cup,1,group stage,Group 2,1,T-87,Yugoslavia,YUG,2,2,0,0,6,1,5,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6,1930,1930 FIFA Men's World Cup,1,group stage,Group 2,2,T-09,Brazil,BRA,2,1,0,1,5,2,3,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
7,1930,1930 FIFA Men's World Cup,1,group stage,Group 2,3,T-07,Bolivia,BOL,2,0,0,2,0,8,-8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,1930,1930 FIFA Men's World Cup,1,group stage,Group 3,1,T-84,Uruguay,URY,2,2,0,0,5,0,5,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
9,1930,1930 FIFA Men's World Cup,1,group stage,Group 3,2,T-61,Romania,ROU,2,1,0,1,3,5,-2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,1930,1930 FIFA Men's World Cup,1,group stage,Group 3,3,T-56,Peru,PER,2,0,0,2,1,4,-3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,1930,1930 FIFA Men's World Cup,1,group stage,Group 4,1,T-83,United States,USA,2,2,0,0,6,0,6,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
12,1930,1930 FIFA Men's World Cup,1,group stage,Group 4,2,T-55,Paraguay,PRY,2,1,0,1,1,3,-2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,1930,1930 FIFA Men's World Cup,1,group stage,Group 4,3,T-06,Belgium,BEL,2,0,0,2,0,4,-4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,1950,1950 FIFA Men's World Cup,1,first round,Group 1,1,T-09,Brazil,BRA,3,2,1,0,8,2,6,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
15,1950,1950 FIFA Men's World Cup,1,first round,Group 1,2,T-87,Yugoslavia,YUG,3,2,0,1,7,3,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
