song,track,album,year,bonus,featuring,key,pitch,mode,duration,tempo,danceability,energy,loudness,speechiness,acousticness,valence,date
Tim McGraw,1,Taylor Swift,2006,FALSE,NA,C,0,major,232,76.009,0.58,0.491,-6.462,0.025,0.575,0.425,10/24/2006
Picture To Burn,2,Taylor Swift,2006,FALSE,NA,G,7,major,173,105.586,0.658,0.877,-2.098,0.032,0.173,0.821,10/24/2006
Teardrops On My Guitar,3,Taylor Swift,2006,FALSE,NA,A#,10,major,203,99.953,0.621,0.417,-6.941,0.023,0.288,0.289,10/24/2006
A Place In This World,4,Taylor Swift,2006,FALSE,NA,A,9,major,199,115.028,0.576,0.777,-2.881,0.032,0.051,0.428,10/24/2006
Cold As You,5,Taylor Swift,2006,FALSE,NA,F,5,major,239,175.558,0.418,0.482,-5.769,0.027,0.217,0.261,10/24/2006
The Outside,6,Taylor Swift,2006,FALSE,NA,F,5,major,207,112.982,0.589,0.805,-4.055,0.029,0.005,0.591,10/24/2006
Tied Together With A Smile,7,Taylor Swift,2006,FALSE,NA,D,2,major,248,146.165,0.479,0.578,-4.963,0.029,0.525,0.192,10/24/2006
Stay Beautiful,8,Taylor Swift,2006,FALSE,NA,G#,8,major,236,131.597,0.594,0.629,-4.919,0.025,0.087,0.504,10/24/2006
Should've Said No,9,Taylor Swift,2006,FALSE,NA,E,4,minor,242,167.964,0.476,0.777,-3.771,0.029,0.01,0.472,10/24/2006
Mary's Song (Oh My My My),10,Taylor Swift,2006,FALSE,NA,D,2,major,213,74.9,0.403,0.627,-5.28,0.029,0.018,0.374,10/24/2006
Our Song,11,Taylor Swift,2006,FALSE,NA,D,2,major,201,89.011,0.668,0.672,-4.931,0.03,0.111,0.539,10/24/2006
I'm Only Me When I'm With You,12,Taylor Swift,2006,TRUE,NA,G#,8,major,213,143.964,0.563,0.934,-3.629,0.065,0.005,0.518,10/24/2006
Invisible,13,Taylor Swift,2006,TRUE,NA,G,7,major,203,96.001,0.612,0.394,-5.723,0.024,0.637,0.233,10/24/2006
A Perfectly Good Heart,14,Taylor Swift,2006,TRUE,NA,E,4,major,220,156.092,0.483,0.751,-5.726,0.037,0.003,0.268,10/24/2006
Teardrops On My Guitar (Pop Version),15,Taylor Swift,2006,TRUE,NA,A#,10,major,179,199.997,0.459,0.753,-3.827,0.054,0.04,0.483,10/24/2006
Mine,1,Speak Now,2010,FALSE,NA,G,7,major,231,121.07,0.624,0.757,-2.94,0.03,0.003,0.658,10/25/2010
Sparks Fly,2,Speak Now,2010,FALSE,NA,F,5,major,261,114.987,0.605,0.787,-3.002,0.031,0.04,0.374,10/25/2010
Back To December,3,Speak Now,2010,FALSE,NA,D,2,major,293,141.893,0.529,0.67,-4.663,0.03,0.117,0.286,10/25/2010
Speak Now,4,Speak Now,2010,FALSE,NA,G,7,major,241,118.975,0.709,0.599,-3.734,0.03,0.095,0.735,10/25/2010
Dear John,5,Speak Now,2010,FALSE,NA,E,4,major,404,119.386,0.589,0.47,-5.32,0.028,0.166,0.102,10/25/2010
Mean,6,Speak Now,2010,FALSE,NA,E,4,major,238,163.974,0.568,0.761,-3.987,0.046,0.452,0.789,10/25/2010
The Story Of Us,7,Speak Now,2010,FALSE,NA,E,4,major,266,139.898,0.543,0.818,-3.611,0.04,0.005,0.683,10/25/2010
