Longitude,Latitude,Unique Squirrel ID,Shift,Age,Color,Location,Approaches,Indifferent,Runs_from,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Moans,Tail_flags,Tail_twitches
-73.97112985,40.76769026,5I-PM-1008-01,PM,Adult,Black,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.9596399,40.7933387,34D-PM-1007-02,PM,Adult,Black,Above,FALSE,not,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95925375,40.79192718,33E-AM-1014-03,AM,Adult,Black,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97908755,40.76761048,2C-AM-1010-03,AM,Adult,Black,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97101168,40.77236893,10G-PM-1017-08,PM,Adult,Black,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95933528,40.79181506,33E-AM-1014-02,AM,Juvenile,Black,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95799418,40.79912167,41B-PM-1014-02,PM,Adult,Black,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96293834,40.78893837,29C-AM-1007-02,AM,Adult,Black,Above,FALSE,not,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
-73.97369956,40.77227125,8E-PM-1008-02,PM,Adult,Black,Above,FALSE,not,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96265608,40.7884633,28D-AM-1012-05,AM,Juvenile,Black,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95861842,40.79931538,41A-PM-1007-02,PM,Adult,Black,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97198797,40.77256251,9F-AM-1013-02,AM,Adult,Black,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.9594446,40.79178004,33D-AM-1017-06,AM,Adult,Black,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
-73.97301813,40.77946013,16A-AM-1013-02,AM,Adult,Black,Above,TRUE,not,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97236779,40.76673154,3H-AM-1008-04,AM,Adult,Black,Above,FALSE,not,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95999115,40.79144525,33D-AM-1017-04,AM,Adult,Black,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.97001011,40.76967295,7I-PM-1013-08,PM,Adult,Black,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.97634308,40.76863511,4D-PM-1008-11,PM,Adult,Cinnamon,Above,FALSE,not,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
-73.95705288,40.79909738,41B-AM-1010-07,AM,Adult,Cinnamon,Above,TRUE,not,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
-73.95205925,40.79750763,42G-PM-1014-03,PM,Adult,Cinnamon,Above,FALSE,not,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96810728,40.77686127,15F-AM-1007-09,AM,Adult,Cinnamon,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96804507,40.78366267,22C-AM-1013-02,AM,Adult,Cinnamon,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
-73.96496111,40.78143718,21F-AM-1018-05,AM,Adult,Cinnamon,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.97142896,40.77506707,12E-PM-1018-04,PM,Adult,Cinnamon,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96504995,40.79081918,30A-AM-1010-01,AM,Adult,Cinnamon,Above,FALSE,not,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.96254162,40.78113024,21H-AM-1017-02,AM,Adult,Cinnamon,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96465975,40.78276982,22F-AM-1007-07,AM,Juvenile,Cinnamon,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.98082021,40.76829218,1A-PM-1014-02,PM,Adult,Cinnamon,Above,FALSE,not,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96245387,40.78838299,28D-AM-1012-04,AM,Adult,Cinnamon,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96754721,40.78359472,22C-PM-1006-06,PM,Juvenile,Cinnamon,Above,FALSE,not,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
