attended,missed,final,homework,freshman,sophomore,termGPA,priorGPA,ACT
29,3,64,75,FALSE,TRUE,2.75,2.910000086,19
28,4,56,87.5,TRUE,FALSE,1.769999981,1.889999986,19
29,3,71,100,TRUE,FALSE,2.75999999,2.119999886,20
31,1,72,100,TRUE,FALSE,2.160000086,1.980000019,18
32,0,74,100,FALSE,TRUE,3.660000086,3.609999895,22
25,7,62,100,FALSE,TRUE,2.25,2.089999914,20
27,5,59,75,TRUE,FALSE,1.769999981,2.539999962,21
30,2,73,87.5,FALSE,TRUE,3.269999981,3.720000029,28
23,9,67,100,FALSE,TRUE,3.039999962,2.480000019,27
32,2,62,87.5,FALSE,TRUE,2.809999943,2.410000086,19
31,1,71,87.5,FALSE,TRUE,2.960000038,3.019999981,19
24,8,66,100,FALSE,FALSE,3.349999905,2.119999886,17
27,5,70,100,FALSE,TRUE,3.109999895,2.839999914,21
24,8,63,100,FALSE,TRUE,2.630000114,3.299999952,26
21,11,56,75,FALSE,FALSE,1.850000024,2.849999905,22
27,5,68,87.5,TRUE,FALSE,3.289999962,2.019999981,28
19,13,68,87.5,FALSE,TRUE,2.119999886,2.160000086,22
30,2,73,100,TRUE,FALSE,2.809999943,1.980000019,15
24,8,58,75,TRUE,FALSE,2.380000114,2.670000076,25
27,5,63,87.5,TRUE,FALSE,2.25,2.609999895,18
30,2,77,87.5,FALSE,FALSE,3,2.460000038,24
21,11,65,100,FALSE,TRUE,1.929999948,2.380000114,20
23,9,56,75,FALSE,TRUE,2.680000067,2.700000048,23
23,9,63,100,FALSE,FALSE,2.460000038,2.480000019,24
19,13,71,62.5,TRUE,FALSE,2.650000095,1.549999952,22
25,7,58,100,FALSE,FALSE,2.410000086,2.75,21
30,2,62,100,FALSE,TRUE,1.379999995,2.549999952,19
27,5,76,100,FALSE,FALSE,3.730000019,3.200000048,25
29,3,65,75,FALSE,TRUE,2.430000067,2.480000019,22
24,8,59,100,TRUE,FALSE,2.069999933,2.619999886,25
27,5,59,100,FALSE,FALSE,1.690000057,2.609999895,23
31,1,74,100,TRUE,FALSE,2.400000095,2.690000057,23
25,7,69,50,FALSE,TRUE,2.349999905,2.529999971,27
31,1,76,100,FALSE,FALSE,3.859999895,3.049999952,27
30,2,70,87.5,TRUE,FALSE,2.75,2.369999886,20
28,4,62,100,TRUE,FALSE,2.5,2.430000067,19
24,8,60,75,TRUE,FALSE,1.350000024,1.889999986,21
24,8,68,100,FALSE,TRUE,2.099999905,2.079999924,22
32,0,68,100,FALSE,TRUE,2.819999933,3.130000114,22
27,5,60,100,FALSE,TRUE,2.380000114,2.019999981,16
10,22,56,12.5,TRUE,FALSE,1,1.409999967,23
25,7,63,75,FALSE,TRUE,3.029999971,2.339999914,22
32,2,81,100,FALSE,FALSE,3.210000038,2.289999962,16
20,12,65,87.5,FALSE,TRUE,1.110000014,2.579999924,25
27,5,69,100,FALSE,TRUE,3.25,2.630000114,26
31,1,77,100,FALSE,TRUE,3.650000095,2.630000114,23
30,2,74,100,FALSE,TRUE,2.960000038,3.180000067,25
20,12,59,75,FALSE,TRUE,1.269999981,1.980000019,22
28,4,61,87.5,FALSE,FALSE,2,2.170000076,18
27,5,66,100,FALSE,TRUE,3.190000057,2.640000105,23
25,7,62,87.5,FALSE,TRUE,2.119999886,2.130000114,18
24,8,60,62.5,FALSE,TRUE,2.140000105,2.589999914,25
19,13,59,37.5,FALSE,FALSE,1.25,2.180000067,23
30,2,64,100,FALSE,TRUE,3.599999905,3.359999895,28
24,8,64,62.5,FALSE,FALSE,2,2.130000114,15
25,7,70,100,FALSE,TRUE,3.630000114,3.640000105,26
15,17,59,50,FALSE,TRUE,2.5,2.029999971,26
31,1,77,100,FALSE,FALSE,3.279999971,2.460000038,18
27,5,65,100,FALSE,TRUE,2.289999962,2.730000019,18
32,0,71,62.5,TRUE,FALSE,1.649999976,2.410000086,19
22,10,59,100,FALSE,FALSE,3.039999962,2.480000019,16
23,9,62,62.5,FALSE,TRUE,2.309999943,3.450000048,23
29,3,69,100,FALSE,TRUE,2.859999895,2.75999999,25
29,3,72,100,FALSE,FALSE,3.579999924,2.789999962,28
30,2,79,100,FALSE,TRUE,4,2.24000001,25
29,3,75,100,FALSE,TRUE,3,2.730000019,21
32,0,80,87.5,TRUE,FALSE,2.779999971,1.860000014,21
25,7,57,100,FALSE,TRUE,2.460000038,2.579999924,20
32,0,81,100,TRUE,FALSE,3.75,2.559999943,20
28,4,57,87.5,FALSE,TRUE,1.960000038,2.039999962,21
30,2,72,100,FALSE,TRUE,3.269999981,2.619999886,24
26,6,63,62.5,FALSE,TRUE,2.920000076,3,23
26,6,67,100,FALSE,FALSE,2.859999895,2.339999914,21
27,5,71,87.5,FALSE,TRUE,3.619999886,3.099999905,28
29,3,69,100,FALSE,FALSE,2.420000076,3.00999999,24
25,7,60,87.5,FALSE,TRUE,1.539999962,2.680000067,19
26,6,71,100,FALSE,TRUE,2.039999962,2.119999886,22
25,7,62,100,FALSE,TRUE,1.970000029,2.069999933,24
31,1,73,100,FALSE,TRUE,3.549999952,3.309999943,22
27,5,58,87.5,FALSE,FALSE,2.119999886,2.210000038,20
26,6,63,100,FALSE,TRUE,2.75,2.950000048,21
32,0,84,100,FALSE,TRUE,3.400000095,3.160000086,25
6,26,64,50,FALSE,TRUE,2.309999943,1.799999952,27
32,0,69,100,FALSE,TRUE,2.880000114,2.819999933,23
32,0,68,100,FALSE,TRUE,3,2.960000038,19
31,1,73,100,TRUE,FALSE,2.789999962,2.359999895,23
30,2,73,100,FALSE,TRUE,2.769999981,2.779999971,18
25,7,65,75,FALSE,TRUE,2.920000076,2.680000067,20
25,7,68,100,FALSE,FALSE,2.940000057,2.940000057,20
32,0,65,100,FALSE,TRUE,3.069999933,2.900000095,18
28,4,65,100,FALSE,TRUE,2.640000105,2.460000038,21
25,7,58,100,FALSE,FALSE,2.380000114,2.920000076,20
29,3,68,100,FALSE,TRUE,2.890000105,3.049999952,23
21,11,60,87.5,TRUE,FALSE,2.039999962,2.5,18
31,1,80,100,FALSE,TRUE,2.859999895,3.460000038,16
23,9,66,100,TRUE,FALSE,2.619999886,1.899999976,23
31,1,56,100,FALSE,FALSE,2.130000114,2.630000114,19
32,2,74,100,TRUE,FALSE,2.099999905,2.329999924,20
30,2,85,100,FALSE,FALSE,4,3.450000048,30
18,14,61,87.5,FALSE,TRUE,2.809999943,2.279999971,22
28,4,62,87.5,FALSE,TRUE,2.5,2.619999886,20
27,5,65,75,FALSE,FALSE,1.230000019,2.710000038,25
23,9,69,100,FALSE,TRUE,3.700000048,2.819999933,24
30,2,72,100,TRUE,FALSE,2.890000105,2.430000067,17
29,3,63,100,FALSE,TRUE,2.269999981,2.099999905,19
27,5,65,100,FALSE,TRUE,3.039999962,1.99000001,25
19,13,63,50,FALSE,FALSE,0.850000024,1.840000033,18
18,14,64,62.5,FALSE,TRUE,1.809999943,2.75,27
32,0,72,100,FALSE,FALSE,2.970000029,2.880000114,25
25,7,70,100,FALSE,TRUE,2.960000038,2.930000067,28
6,26,65,37.5,FALSE,FALSE,2.130000114,2.940000057,28
23,9,58,75,FALSE,TRUE,2.269999981,2.529999971,26
22,10,56,87.5,FALSE,TRUE,1.710000038,2.130000114,20
32,0,71,100,TRUE,FALSE,3.539999962,2.940000057,16
31,1,69,100,FALSE,TRUE,3.549999952,3.25,23
23,9,64,87.5,TRUE,FALSE,2.650000095,1.25,25
30,2,68,100,TRUE,FALSE,2.630000114,2.539999962,25
19,13,72,87.5,FALSE,TRUE,3.289999962,2.670000076,21
29,3,71,100,FALSE,TRUE,2.630000114,2.549999952,26
30,2,78,100,FALSE,TRUE,3.25,3.880000114,26
30,2,74,100,FALSE,TRUE,2.700000048,3.019999981,20
28,4,65,100,TRUE,FALSE,3.210000038,2.539999962,23
32,2,74,75,TRUE,FALSE,2.880000114,2.369999886,23
18,14,64,75,FALSE,FALSE,1.850000024,1.429999948,25
32,0,80,100,FALSE,FALSE,4,3.900000095,28
11,21,63,12.5,FALSE,TRUE,0,1.74000001,24
23,9,63,100,FALSE,FALSE,3.130000114,3.339999914,28
27,5,66,100,FALSE,TRUE,2.970000029,3.150000095,28
25,7,66,100,FALSE,TRUE,2.920000076,2.269999981,19
30,2,65,100,FALSE,TRUE,3.039999962,3.359999895,20
29,3,67,100,TRUE,FALSE,3,2.940000057,22
27,5,66,87.5,FALSE,FALSE,2.470000029,2.900000095,18
25,7,62,100,FALSE,FALSE,2.630000114,2.200000048,18
19,13,60,50,TRUE,FALSE,0.566999972,1.74000001,21
18,14,58,50,FALSE,FALSE,2.099999905,2.50999999,22
28,4,63,75,FALSE,FALSE,2.25,2.519999981,20
23,9,47,62.5,FALSE,FALSE,3.25,2.849999905,29
10,22,53,12.5,FALSE,TRUE,0.800000012,1.799999952,21
28,4,65,100,TRUE,FALSE,2.230000019,2.670000076,19
28,4,68,100,TRUE,FALSE,2.799999952,3.910000086,26
29,3,67,100,FALSE,TRUE,2.539999962,2.25999999,21
32,0,76,100,FALSE,TRUE,2.75,2.940000057,22
24,8,54,25,FALSE,TRUE,2.400000095,3.049999952,26
32,0,77,100,FALSE,FALSE,2.900000095,3.25,20
